Freq[Hz]     dBSPL  Phase[Deg]
5.00000     30.543  -118.559
5.07273     30.887  -118.454
5.14651     31.231  -118.350
5.22137     31.576  -118.245
5.29732     31.922  -118.139
5.37437     32.270  -118.034
5.45254     32.617  -117.930
5.53185     32.965  -117.825
5.61231     33.314  -117.721
5.69394     33.664  -117.618
5.77676     34.014  -117.516
5.86079     34.365  -117.413
5.94604     34.717  -117.313
6.03252     35.069  -117.213
6.12027     35.423  -117.113
6.20929     35.778  -117.015
6.29961     36.133  -116.918
6.39124     36.488  -116.823
6.48420     36.845  -116.730
6.57851     37.202  -116.638
6.67420     37.560  -116.547
6.77128     37.919  -116.458
6.86977     38.279  -116.372
6.96969     38.640  -116.286
7.07107     39.002  -116.203
7.17392     39.364  -116.123
7.27827     39.727  -116.045
7.38413     40.091  -115.969
7.49154     40.456  -115.896
7.60050     40.823  -115.825
7.71105     41.189  -115.757
7.82321     41.557  -115.691
7.93701     41.925  -115.629
8.05245     42.295  -115.570
8.16958     42.666  -115.514
8.28841     43.037  -115.462
8.40896     43.409  -115.412
8.53128     43.782  -115.367
8.65537     44.156  -115.324
8.78126     44.532  -115.285
8.90899     44.908  -115.250
9.03857     45.286  -115.219
9.17004     45.664  -115.192
9.30342     46.044  -115.169
9.43874     46.424  -115.150
9.57603     46.805  -115.136
9.71532     47.187  -115.125
9.85663     47.572  -115.120
10.0000     47.956  -115.119
10.1455     48.342  -115.124
10.2930     48.730  -115.132
10.4427     49.118  -115.147
10.5946     49.507  -115.167
10.7487     49.898  -115.191
10.9051     50.290  -115.221
11.0637     50.683  -115.258
11.2246     51.078  -115.300
11.3879     51.474  -115.348
11.5535     51.872  -115.402
11.7216     52.270  -115.463
11.8921     52.670  -115.529
12.0650     53.073  -115.604
12.2405     53.475  -115.684
12.4186     53.881  -115.772
12.5992     54.286  -115.867
12.7825     54.695  -115.971
12.9684     55.104  -116.081
13.1570     55.516  -116.201
13.3484     55.929  -116.328
13.5426     56.344  -116.465
13.7395     56.761  -116.609
13.9394     57.180  -116.765
14.1421     57.602  -116.929
14.3478     58.024  -117.104
14.5565     58.450  -117.288
14.7683     58.877  -117.484
14.9831     59.307  -117.692
15.2010     59.739  -117.911
15.4221     60.174  -118.143
15.6464     60.610  -118.387
15.8740     61.050  -118.645
16.1049     61.493  -118.917
16.3392     61.939  -119.205
16.5768     62.386  -119.508
16.8179     62.838  -119.827
17.0626     63.292  -120.165
17.3107     63.750  -120.519
17.5625     64.212  -120.894
17.8180     64.677  -121.289
18.0771     65.145  -121.705
18.3401     65.618  -122.146
18.6068     66.094  -122.609
18.8775     66.575  -123.100
19.1521     67.060  -123.618
19.4306     67.550  -124.167
19.7133     68.044  -124.746
20.0000     68.544  -125.360
20.2909     69.048  -126.012
20.5860     69.557  -126.702
20.8855     70.072  -127.435
21.1893     70.594  -128.215
21.4975     71.120  -129.044
21.8102     71.654  -129.928
22.1274     72.192  -130.870
22.4492     72.738  -131.878
22.7758     73.290  -132.954
23.1071     73.849  -134.109
23.4432     74.414  -135.347
23.7841     74.986  -136.678
24.1301     75.565  -138.109
24.4811     76.150  -139.652
24.8372     76.741  -141.316
25.1984     77.337  -143.116
25.5649     77.938  -145.063
25.9368     78.543  -147.172
26.3141     79.149  -149.457
26.6968     79.755  -151.937
27.0851     80.358  -154.624
27.4791     80.956  -157.535
27.8788     81.543  -160.684
28.2843     82.115  -164.082
28.6957     82.667  -167.731
29.1131     83.191  -171.635
29.5365     83.683  -175.780
29.9661     84.133   179.854
30.4020     84.536   175.300
30.8442     84.886   170.602
31.2929     85.179   165.817
31.7480     85.413   161.003
32.2098     85.587   156.224
32.6783     85.705   151.542
33.1536     85.771   147.010
33.6359     85.791   142.669
34.1251     85.772   138.548
34.6215     85.720   134.669
35.1250     85.643   131.037
35.6359     85.547   127.653
36.1543     85.435   124.512
36.6802     85.316   121.599
37.2137     85.191   118.902
37.7550     85.064   116.405
38.3041     84.937   114.094
38.8613     84.811   111.951
39.4265     84.690   109.961
40.0000     84.572   108.113
40.5818     84.460   106.391
41.1721     84.354   104.783
41.7710     84.254   103.282
42.3785     84.160   101.873
42.9949     84.073   100.550
43.6203     83.993    99.305
44.2548     83.918    98.131
44.8985     83.850    97.021
45.5515     83.788    95.969
46.2141     83.731    94.972
46.8863     83.681    94.023
47.5683     83.636    93.117
48.2602     83.596    92.253
48.9621     83.561    91.428
49.6743     83.532    90.637
50.3968     83.506    89.878
51.1299     83.486    89.148
51.8736     83.469    88.444
52.6281     83.457    87.768
53.3936     83.449    87.113
54.1702     83.444    86.480
54.9581     83.442    85.868
55.7575     83.445    85.275
56.5685     83.450    84.698
57.3914     83.458    84.139
58.2261     83.469    83.594
59.0730     83.484    83.065
59.9323     83.500    82.549
60.8040     83.519    82.044
61.6884     83.541    81.553
62.5857     83.565    81.072
63.4960     83.591    80.602
64.4196     83.618    80.143
65.3566     83.648    79.693
66.3073     83.680    79.251
67.2717     83.713    78.818
68.2502     83.749    78.395
69.2429     83.785    77.978
70.2501     83.823    77.569
71.2719     83.863    77.168
72.3086     83.903    76.772
73.3603     83.946    76.384
74.4274     83.989    76.002
75.5099     84.034    75.626
76.6083     84.080    75.257
77.7226     84.126    74.893
78.8531     84.174    74.535
80.0000     84.223    74.181
81.1636     84.272    73.834
82.3442     84.323    73.491
83.5419     84.374    73.154
84.7570     84.426    72.821
85.9899     84.479    72.493
87.2406     84.532    72.170
88.5096     84.586    71.850
89.7970     84.641    71.537
91.1031     84.696    71.227
92.4282     84.752    70.921
93.7726     84.809    70.620
95.1366     84.866    70.324
96.5204     84.923    70.031
97.9243     84.982    69.741
99.3486     85.040    69.458
100.794     85.098    69.177
102.260     85.158    68.899
103.747     85.217    68.627
105.256     85.276    68.358
106.787     85.337    68.092
108.340     85.398    67.831
109.916     85.459    67.573
111.515     85.520    67.320
113.137     85.582    67.070
114.783     85.644    66.823
116.452     85.706    66.580
118.146     85.768    66.340
119.865     85.832    66.105
121.608     85.895    65.872
123.377     85.957    65.643
125.171     86.022    65.417
126.992     86.085    65.195
128.839     86.149    64.975
130.713     86.214    64.760
132.615     86.278    64.547
134.543     86.343    64.338
136.500     86.408    64.131
138.486     86.474    63.928
140.500     86.540    63.728
142.544     86.606    63.530
144.617     86.672    63.335
146.721     86.738    63.142
148.855     86.804    62.954
151.020     86.871    62.767
153.217     86.939    62.582
155.445     87.006    62.400
157.706     87.074    62.221
160.000     87.141    62.044
162.327     87.210    61.870
164.688     87.278    61.698
167.084     87.346    61.526
169.514     87.415    61.358
171.980     87.484    61.190
174.481     87.554    61.025
177.019     87.623    60.863
179.594     87.693    60.700
182.206     87.764    60.540
184.856     87.834    60.382
187.545     87.905    60.225
190.273     87.975    60.068
193.041     88.046    59.912
195.849     88.117    59.758
198.697     88.188    59.604
201.587     88.260    59.451
204.520     88.333    59.299
207.494     88.405    59.147
210.512     88.476    58.994
213.574     88.550    58.845
216.681     88.621    58.694
219.833     88.695    58.542
223.030     88.767    58.391
226.274     88.841    58.240
229.565     88.915    58.088
232.905     88.988    57.937
236.292     89.062    57.785
239.729     89.135    57.631
243.216     89.209    57.477
246.754     89.283    57.322
250.343     89.357    57.167
253.984     89.432    57.009
257.678     89.506    56.851
261.426     89.579    56.692
265.229     89.654    56.531
269.087     89.728    56.370
273.001     89.802    56.206
276.972     89.876    56.040
281.000     89.950    55.873
285.088     90.024    55.704
289.234     90.098    55.533
293.441     90.172    55.360
297.709     90.246    55.184
302.040     90.319    55.006
306.433     90.392    54.827
310.890     90.466    54.644
315.412     90.539    54.459
320.000     90.611    54.272
324.655     90.684    54.083
329.377     90.756    53.890
334.168     90.828    53.694
339.028     90.899    53.496
343.959     90.969    53.296
348.962     91.040    53.091
354.038     91.110    52.885
359.188     91.179    52.668
364.412     91.232    52.367
369.713     91.264    52.004
375.090     91.284    51.605
380.546     91.302    51.168
386.081     91.322    50.669
391.697     91.336    50.087
397.394     91.321    49.442
403.175     91.258    48.806
409.039     91.133    48.317
414.989     90.943    48.175
421.025     90.708    48.628
427.149     90.472    49.933
433.362     90.331    52.256
439.665     90.427    55.500
446.060     90.879    59.109
452.548     91.683    62.134
459.131     92.703    63.731
465.809     93.767    63.610
472.584     94.737    61.961
479.458     95.528    59.169
486.432     96.123    55.625
493.507     96.545    51.645
500.686     96.838    47.490
507.968     97.047    43.362
515.357     97.212    39.378
522.853     97.329    35.576
530.458     97.378    31.973
538.174     97.355    28.575
546.002     97.283    25.386
553.943     97.197    22.402
562.001     97.128    19.595
570.175     97.094    16.887
578.469     97.092    14.159
586.883     97.118    11.283
595.419     97.164     8.160
604.080     97.204     4.756
612.866     97.190     1.123
621.780     97.065    -2.618
630.824     96.777    -6.292
640.000     96.300    -9.691
649.309     95.644   -12.581
658.753     94.857   -14.731
668.335     94.024   -15.955
678.056     93.245   -16.186
687.919     92.595   -15.524
697.925     92.091   -14.191
