Freq[Hz]     dBSPL  Phase[Deg]
5.00000     46.987   146.527
5.07273     47.065   146.484
5.14651     47.188   146.426
5.22137     47.364   146.344
5.29732     47.564   146.249
5.37437     47.774   146.140
5.45254     47.988   146.028
5.53185     48.202   145.913
5.61231     48.417   145.797
5.69394     48.631   145.680
5.77676     48.845   145.561
5.86079     49.059   145.441
5.94604     49.273   145.319
6.03252     49.487   145.196
6.12027     49.701   145.071
6.20929     49.916   144.945
6.29961     50.130   144.817
6.39124     50.344   144.687
6.48420     50.558   144.555
6.57851     50.772   144.422
6.67420     50.986   144.286
6.77128     51.200   144.149
6.86977     51.414   144.010
6.96969     51.629   143.870
7.07107     51.843   143.727
7.17392     52.057   143.582
7.27827     52.271   143.434
7.38413     52.485   143.285
7.49154     52.699   143.134
7.60050     52.914   142.980
7.71105     53.128   142.825
7.82321     53.342   142.667
7.93701     53.557   142.507
8.05245     53.771   142.345
8.16958     53.986   142.180
8.28841     54.200   142.012
8.40896     54.414   141.843
8.53128     54.628   141.670
8.65537     54.842   141.496
8.78126     55.057   141.318
8.90899     55.271   141.138
9.03857     55.485   140.956
9.17004     55.699   140.770
9.30342     55.914   140.582
9.43874     56.128   140.391
9.57603     56.342   140.197
9.71532     56.556   140.001
9.85663     56.771   139.802
10.0000     56.985   139.599
10.1455     57.199   139.394
10.2930     57.414   139.185
10.4427     57.628   138.973
10.5946     57.842   138.758
10.7487     58.057   138.540
10.9051     58.271   138.319
11.0637     58.486   138.094
11.2246     58.700   137.865
11.3879     58.915   137.633
11.5535     59.130   137.398
11.7216     59.344   137.159
11.8921     59.558   136.916
12.0650     59.773   136.670
12.2405     59.987   136.420
12.4186     60.202   136.165
12.5992     60.416   135.907
12.7825     60.631   135.645
12.9684     60.845   135.379
13.1570     61.060   135.109
13.3484     61.274   134.834
13.5426     61.489   134.555
13.7395     61.703   134.272
13.9394     61.918   133.984
14.1421     62.133   133.692
14.3478     62.347   133.395
14.5565     62.562   133.093
14.7683     62.777   132.786
14.9831     62.991   132.475
15.2010     63.206   132.158
15.4221     63.421   131.836
15.6464     63.636   131.509
15.8740     63.851   131.177
16.1049     64.066   130.839
16.3392     64.281   130.496
16.5768     64.495   130.146
16.8179     64.710   129.792
17.0626     64.925   129.431
17.3107     65.140   129.064
17.5625     65.355   128.691
17.8180     65.570   128.312
18.0771     65.785   127.926
18.3401     66.000   127.534
18.6068     66.215   127.135
18.8775     66.430   126.728
19.1521     66.645   126.314
19.4306     66.860   125.892
19.7133     67.076   125.461
20.0000     67.291   125.020
20.2909     67.506   124.568
20.5860     67.721   124.106
20.8855     67.933   123.638
21.1893     68.143   123.168
21.4975     68.350   122.702
21.8102     68.555   122.244
22.1274     68.760   121.793
22.4492     68.969   121.346
22.7758     69.183   120.896
23.1071     69.399   120.440
23.4432     69.615   119.978
23.7841     69.826   119.517
24.1301     70.032   119.070
24.4811     70.236   118.649
24.8372     70.440   118.264
25.1984     70.652   117.914
25.5649     70.874   117.594
25.9368     71.110   117.285
26.3141     71.363   116.964
26.6968     71.636   116.601
27.0851     71.928   116.171
27.4791     72.232   115.650
27.8788     72.544   115.023
28.2843     72.858   114.281
28.6957     73.173   113.425
29.1131     73.487   112.459
29.5365     73.797   111.390
29.9661     74.100   110.229
30.4020     74.393   108.986
30.8442     74.677   107.673
31.2929     74.955   106.295
31.7480     75.231   104.853
32.2098     75.507   103.341
32.6783     75.782   101.748
33.1536     76.056   100.060
33.6359     76.330    98.265
34.1251     76.601    96.351
34.6215     76.863    94.305
35.1250     77.115    92.114
35.6359     77.358    89.765
36.1543     77.589    87.247
36.6802     77.804    84.559
37.2137     77.991    81.710
37.7550     78.135    78.721
38.3041     78.225    75.620
38.8613     78.257    72.446
39.4265     78.233    69.245
40.0000     78.153    66.073
40.5818     78.012    62.994
41.1721     77.805    60.070
41.7710     77.527    57.365
42.3785     77.187    54.942
42.9949     76.800    52.855
43.6203     76.382    51.151
44.2548     75.950    49.862
44.8985     75.512    48.998
45.5515     75.073    48.566
46.2141     74.640    48.562
46.8863     74.220    48.983
47.5683     73.822    49.824
48.2602     73.456    51.078
48.9621     73.129    52.738
49.6743     72.846    54.803
50.3968     72.614    57.270
51.1299     72.453    60.105
51.8736     72.397    63.204
52.6281     72.481    66.367
53.3936     72.720    69.319
54.1702     73.097    71.784
54.9581     73.565    73.568
55.7575     74.074    74.598
56.5685     74.578    74.903
57.3914     75.040    74.578
58.2261     75.439    73.747
59.0730     75.760    72.543
59.9323     76.001    71.096
60.8040     76.162    69.531
61.6884     76.242    67.969
62.5857     76.243    66.534
63.4960     76.167    65.345
64.4196     76.026    64.513
65.3566     75.845    64.124
66.3073     75.663    64.222
67.2717     75.520    64.791
68.2502     75.450    65.741
69.2429     75.466    66.928
70.2501     75.567    68.185
71.2719     75.749    69.342
72.3086     76.002    70.251
73.3603     76.315    70.792
74.4274     76.664    70.895
75.5099     77.018    70.539
76.6083     77.343    69.762
77.7226     77.607    68.647
78.8531     77.794    67.307
80.0000     77.894    65.869
81.1636     77.912    64.466
82.3442     77.856    63.223
83.5419     77.740    62.254
84.7570     77.579    61.652
85.9899     77.396    61.485
87.2406     77.215    61.782
88.5096     77.064    62.535
89.7970     76.968    63.689
91.1031     76.943    65.151
92.4282     76.997    66.801
93.7726     77.133    68.507
95.1366     77.350    70.136
96.5204     77.645    71.563
97.9243     78.009    72.680
99.3486     78.425    73.408
100.794     78.872    73.700
102.260     79.330    73.539
103.747     79.784    72.924
105.256     80.227    71.863
106.787     80.655    70.371
108.340     81.055    68.476
109.916     81.408    66.218
111.515     81.692    63.657
113.137     81.888    60.867
114.783     81.985    57.947
116.452     81.977    55.013
118.146     81.859    52.211
119.865     81.625    49.704
121.608     81.271    47.676
123.377     80.811    46.317
125.171     80.279    45.809
126.992     79.746    46.269
128.839     79.304    47.675
130.713     79.038    49.800
132.615     78.988    52.234
134.543     79.130    54.527
136.500     79.399    56.346
138.486     79.728    57.538
140.500     80.062    58.104
142.544     80.370    58.129
144.617     80.632    57.738
146.721     80.834    57.065
148.855     80.966    56.254
151.020     81.025    55.447
153.217     81.012    54.788
155.445     80.941    54.410
157.706     80.836    54.414
160.000     80.738    54.840
162.327     80.699    55.625
164.688     80.770    56.590
167.084     80.971    57.479
169.514     81.282    58.039
171.980     81.646    58.112
174.481     81.998    57.670
177.019     82.287    56.794
179.594     82.486    55.626
182.206     82.590    54.326
184.856     82.611    53.045
187.545     82.571    51.904
190.273     82.497    50.988
193.041     82.408    50.344
195.849     82.314    49.989
198.697     82.223    49.916
201.587     82.146    50.088
204.520     82.102    50.439
207.494     82.111    50.869
210.512     82.178    51.266
213.574     82.285    51.549
216.681     82.391    51.706
219.833     82.452    51.813
223.030     82.442    52.019
226.274     82.365    52.499
229.565     82.260    53.398
232.905     82.198    54.751
236.292     82.255    56.418
239.729     82.482    58.098
243.216     82.868    59.440
246.754     83.349    60.198
250.343     83.839    60.305
253.984     84.267    59.852
257.678     84.594    59.014
261.426     84.820    57.977
265.229     84.972    56.886
269.087     85.096    55.827
273.001     85.231    54.822
276.972     85.384    53.863
281.000     85.530    52.956
285.088     85.630    52.152
289.234     85.659    51.544
293.441     85.637    51.223
297.709     85.625    51.218
302.040     85.708    51.421
306.433     85.943    51.585
310.890     86.328    51.401
315.412     86.796    50.638
320.000     87.262    49.223
324.655     87.650    47.232
329.377     87.910    44.832
334.168     88.020    42.234
339.028     87.985    39.655
343.959     87.826    37.296
348.962     87.583    35.333
354.038     87.297    33.891
359.188     87.009    33.029
364.412     86.755    32.724
369.713     86.569    32.871
375.090     86.476    33.298
380.546     86.484    33.796
386.081     86.581    34.170
391.697     86.736    34.277
397.394     86.911    34.053
403.175     87.073    33.514
409.039     87.194    32.737
414.989     87.257    31.840
421.025     87.252    30.957
427.149     87.190    30.202
433.362     87.101    29.642
439.665     87.027    29.277
446.060     87.010    29.037
