Freq[Hz]     dBSPL  Phase[Deg]
5.00000     56.346   145.689
5.07273     56.451   145.616
5.14651     56.605   145.523
5.22137     56.807   145.406
5.29732     57.018   145.286
5.37437     57.232   145.156
5.45254     57.446   145.028
5.53185     57.660   144.899
5.61231     57.875   144.768
5.69394     58.089   144.636
5.77676     58.303   144.503
5.86079     58.517   144.367
5.94604     58.731   144.230
6.03252     58.945   144.091
6.12027     59.159   143.950
6.20929     59.373   143.808
6.29961     59.587   143.663
6.39124     59.801   143.516
6.48420     60.015   143.368
6.57851     60.229   143.217
6.67420     60.443   143.064
6.77128     60.657   142.909
6.86977     60.871   142.752
6.96969     61.085   142.593
7.07107     61.299   142.432
7.17392     61.513   142.268
7.27827     61.727   142.101
7.38413     61.941   141.933
7.49154     62.155   141.762
7.60050     62.369   141.589
7.71105     62.583   141.413
7.82321     62.797   141.235
7.93701     63.011   141.054
8.05245     63.226   140.870
8.16958     63.440   140.684
8.28841     63.654   140.495
8.40896     63.868   140.303
8.53128     64.082   140.109
8.65537     64.296   139.911
8.78126     64.510   139.711
8.90899     64.724   139.508
9.03857     64.938   139.301
9.17004     65.152   139.092
9.30342     65.366   138.880
9.43874     65.580   138.664
9.57603     65.794   138.445
9.71532     66.008   138.223
9.85663     66.222   137.998
10.0000     66.436   137.770
10.1455     66.650   137.538
10.2930     66.864   137.302
10.4427     67.078   137.063
10.5946     67.292   136.820
10.7487     67.506   136.574
10.9051     67.720   136.324
11.0637     67.934   136.070
11.2246     68.148   135.812
11.3879     68.363   135.551
11.5535     68.577   135.285
11.7216     68.791   135.016
11.8921     69.005   134.742
12.0650     69.219   134.464
12.2405     69.433   134.182
12.4186     69.647   133.895
12.5992     69.861   133.604
12.7825     70.075   133.309
12.9684     70.289   133.009
13.1570     70.503   132.704
13.3484     70.717   132.395
13.5426     70.931   132.081
13.7395     71.145   131.762
13.9394     71.359   131.438
14.1421     71.573   131.109
14.3478     71.787   130.775
14.5565     72.001   130.435
14.7683     72.215   130.090
14.9831     72.429   129.739
15.2010     72.643   129.383
15.4221     72.857   129.021
15.6464     73.071   128.654
15.8740     73.285   128.280
16.1049     73.500   127.901
16.3392     73.714   127.515
16.5768     73.928   127.123
16.8179     74.142   126.725
17.0626     74.356   126.320
17.3107     74.570   125.908
17.5625     74.784   125.490
17.8180     74.998   125.065
18.0771     75.212   124.633
18.3401     75.426   124.193
18.6068     75.640   123.746
18.8775     75.854   123.292
19.1521     76.068   122.829
19.4306     76.282   122.357
19.7133     76.496   121.877
20.0000     76.710   121.387
20.2909     76.924   120.885
20.5860     77.138   120.368
20.8855     77.352   119.837
21.1893     77.564   119.295
21.4975     77.767   118.756
21.8102     77.964   118.240
22.1274     78.169   117.738
22.4492     78.370   117.248
22.7758     78.581   116.770
23.1071     78.806   116.259
23.4432     79.025   115.711
23.7841     79.236   115.161
24.1301     79.440   114.618
24.4811     79.632   114.109
24.8372     79.832   113.650
25.1984     80.036   113.247
25.5649     80.253   112.892
25.9368     80.484   112.556
26.3141     80.728   112.217
26.6968     80.993   111.857
27.0851     81.286   111.418
27.4791     81.600   110.858
27.8788     81.912   110.176
28.2843     82.224   109.382
28.6957     82.535   108.461
29.1131     82.851   107.415
29.5365     83.163   106.264
29.9661     83.471   105.013
30.4020     83.761   103.669
30.8442     84.036   102.259
31.2929     84.309   100.804
31.7480     84.581    99.300
32.2098     84.853    97.735
32.6783     85.125    96.094
33.1536     85.397    94.361
33.6359     85.669    92.512
34.1251     85.940    90.536
34.6215     86.209    88.418
35.1250     86.459    86.163
35.6359     86.690    83.768
36.1543     86.921    81.196
36.6802     87.147    78.406
37.2137     87.356    75.401
37.7550     87.514    72.212
38.3041     87.607    68.871
38.8613     87.625    65.437
39.4265     87.586    61.992
40.0000     87.513    58.564
40.5818     87.378    55.192
41.1721     87.160    51.981
41.7710     86.865    49.003
42.3785     86.487    46.344
42.9949     86.060    44.113
43.6203     85.626    42.340
44.2548     85.182    41.013
44.8985     84.732    40.128
45.5515     84.288    39.651
46.2141     83.840    39.591
46.8863     83.404    39.981
47.5683     82.999    40.787
48.2602     82.621    41.983
48.9621     82.292    43.558
49.6743     82.011    45.487
50.3968     81.765    47.794
51.1299     81.562    50.533
51.8736     81.449    53.692
52.6281     81.496    57.066
53.3936     81.731    60.285
54.1702     82.132    62.976
54.9581     82.635    64.864
55.7575     83.172    65.850
56.5685     83.707    65.983
57.3914     84.204    65.383
58.2261     84.617    64.224
59.0730     84.942    62.669
59.9323     85.180    60.842
60.8040     85.332    58.885
61.6884     85.409    56.937
62.5857     85.401    55.103
63.4960     85.303    53.517
64.4196     85.122    52.347
65.3566     84.884    51.749
66.3073     84.638    51.801
67.2717     84.457    52.429
68.2502     84.365    53.486
69.2429     84.381    54.784
70.2501     84.476    56.106
71.2719     84.639    57.305
72.3086     84.874    58.264
73.3603     85.183    58.858
74.4274     85.551    58.944
75.5099     85.928    58.446
76.6083     86.277    57.399
77.7226     86.565    55.894
78.8531     86.746    54.099
80.0000     86.826    52.206
81.1636     86.817    50.364
82.3442     86.728    48.722
83.5419     86.577    47.426
84.7570     86.381    46.562
85.9899     86.147    46.201
87.2406     85.913    46.391
88.5096     85.725    47.101
89.7970     85.602    48.240
91.1031     85.550    49.694
92.4282     85.578    51.332
93.7726     85.692    53.006
95.1366     85.881    54.613
96.5204     86.152    56.040
97.9243     86.493    57.151
99.3486     86.897    57.844
100.794     87.347    58.045
102.260     87.798    57.759
103.747     88.236    57.018
105.256     88.650    55.831
106.787     89.055    54.214
108.340     89.460    52.144
109.916     89.830    49.617
111.515     90.116    46.701
113.137     90.306    43.472
114.783     90.377    40.043
116.452     90.339    36.563
118.146     90.201    33.177
119.865     89.933    30.054
121.608     89.523    27.437
123.377     88.970    25.604
125.171     88.313    24.846
126.992     87.650    25.376
128.839     87.109    27.171
130.713     86.802    29.849
132.615     86.757    32.780
134.543     86.933    35.339
136.500     87.228    37.164
138.486     87.564    38.189
140.500     87.893    38.477
142.544     88.182    38.164
144.617     88.424    37.404
146.721     88.605    36.333
148.855     88.709    35.090
151.020     88.727    33.829
153.217     88.661    32.727
155.445     88.524    31.959
157.706     88.332    31.699
160.000     88.136    32.053
162.327     87.997    32.984
164.688     87.979    34.288
167.084     88.144    35.567
169.514     88.464    36.369
171.980     88.855    36.436
174.481     89.226    35.731
177.019     89.508    34.407
179.594     89.671    32.706
182.206     89.713    30.906
184.856     89.650    29.247
187.545     89.535    27.850
190.273     89.382    26.773
193.041     89.232    26.035
195.849     89.092    25.594
198.697     88.942    25.434
201.587     88.788    25.586
204.520     88.659    26.012
207.494     88.591    26.604
210.512     88.625    27.149
213.574     88.727    27.432
216.681     88.829    27.387
219.833     88.879    27.081
223.030     88.812    26.763
226.274     88.624    26.819
229.565     88.381    27.539
232.905     88.166    29.041
236.292     88.099    31.188
239.729     88.252    33.518
243.216     88.622    35.416
246.754     89.130    36.412
250.343     89.654    36.401
253.984     90.086    35.585
257.678     90.381    34.273
261.426     90.514    32.815
265.229     90.540    31.535
269.087     90.547    30.543
273.001     90.598    29.744
276.972     90.723    28.943
281.000     90.875    27.980
285.088     90.960    26.907
289.234     90.920    25.961
293.441     90.749    25.465
297.709     90.553    25.660
302.040     90.488    26.469
306.433     90.648    27.463
310.890     91.023    28.039
315.412     91.515    27.717
320.000     92.011    26.337
324.655     92.414    24.058
329.377     92.657    21.194
334.168     92.709    18.090
339.028     92.568    15.082
343.959     92.289    12.464
348.962     91.930    10.455
354.038     91.543     9.173
359.188     91.163     8.634
364.412     90.821     8.761
369.713     90.549     9.423
375.090     90.384    10.426
380.546     90.351    11.482
386.081     90.419    12.320
391.697     90.547    12.779
397.394     90.700    12.779
403.175     90.830    12.337
409.039     90.917    11.559
414.989     90.934    10.614
421.025     90.876     9.685
427.149     90.722     8.992
433.362     90.514     8.717
439.665     90.336     8.856
446.060     90.246     9.236
452.548     90.284     9.593
459.131     90.384     9.675
465.809     90.450     9.451
472.584     90.443     9.041
479.458     90.373     8.593
486.432     90.268     8.253
493.507     90.189     8.046
500.686     90.114     7.937
507.968     90.011     7.974
515.357     89.876     8.236
522.853     89.722     8.787
530.458     89.609     9.621
538.174     89.600    10.554
546.002     89.704    11.303
553.943     89.866    11.646
562.001     89.987    11.587
570.175     90.006    11.319
578.469     89.931    11.062
586.883     89.763    11.091
595.419     89.569    11.667
604.080     89.370    12.934
612.866     89.212    14.946
621.780     89.200    17.504
630.824     89.408    20.142
640.000     89.877    22.240
649.309     90.500    23.270
658.753     91.114    23.145
668.335     91.631    22.084
678.056     91.997    20.408
687.919     92.226    18.449
697.925     92.349    16.475
708.077     92.425    14.605
718.376     92.482    12.856
728.825     92.520    11.213
739.426     92.538     9.669
750.181     92.515     8.224
761.093     92.456     6.922
772.163     92.381     5.796
783.394     92.321     4.831
794.789     92.283     3.965
806.349     92.269     3.114
818.078     92.282     2.164
829.977     92.314     0.995
842.050     92.348    -0.440
854.298     92.348    -2.127
866.724     92.246    -3.915
879.330     92.014    -5.573
892.120     91.674    -6.881
905.097     91.260    -7.633
918.262     90.876    -7.755
931.618     90.563    -7.368
945.169     90.322    -6.639
958.917     90.138    -5.728
972.864     89.984    -4.716
987.015     89.856    -3.600
1001.37     89.755    -2.345
1015.94     89.712    -0.988
1030.71     89.753     0.321
1045.71     89.914     1.330
1060.92     90.170     1.778
1076.35     90.450     1.523
1092.00     90.688     0.560
1107.89     90.827    -0.988
1124.00     90.835    -2.877
1140.35     90.674    -4.754
1156.94     90.339    -6.253
1173.77     89.839    -7.010
1190.84     89.246    -6.696
1208.16     88.704    -5.180
1225.73     88.329    -2.660
1243.56     88.171     0.398
1261.65     88.194     3.464
1280.00     88.349     6.168
1298.62     88.590     8.321
1317.51     88.869     9.911
1336.67     89.149    11.011
1356.11     89.407    11.713
1375.84     89.652    12.089
1395.85     89.879    12.208
1416.15     90.099    12.123
1436.75     90.293    11.859
1457.65     90.448    11.470
1478.85     90.565    11.027
1500.36     90.664    10.565
1522.19     90.753    10.096
1544.33     90.832     9.629
1566.79     90.893     9.180
1589.58     90.930     8.773
1612.70     90.944     8.451
1636.16     90.949     8.253
1659.95     90.966     8.172
1684.10     91.007     8.162
1708.60     91.067     8.173
1733.45     91.147     8.163
1758.66     91.239     8.082
1784.24     91.344     7.892
1810.19     91.460     7.573
1836.52     91.577     7.109
1863.24     91.680     6.500
1890.34     91.766     5.751
1917.83     91.830     4.894
1945.73     91.856     4.007
1974.03     91.832     3.187
2002.74     91.769     2.495
2031.87     91.691     1.969
2061.43     91.625     1.627
2091.41     91.579     1.436
2121.83     91.544     1.339
2152.69     91.529     1.256
2184.01     91.532     1.141
2215.77     91.552     0.982
2248.00     91.564     0.783
2280.70     91.541     0.585
2313.87     91.506     0.433
2347.53     91.485     0.327
2381.68     91.489     0.242
2416.32     91.491     0.165
2451.46     91.490     0.078
2487.12     91.470    -0.014
2523.30     91.449    -0.072
2560.00     91.441    -0.098
2597.24     91.433    -0.110
2635.01     91.415    -0.097
2673.34     91.388    -0.041
2712.23     91.351     0.096
2751.68     91.310     0.352
2791.70     91.263     0.768
2832.31     91.221     1.371
2873.50     91.206     2.149
2915.30     91.220     3.089
2957.70     91.275     4.174
3000.72     91.379     5.334
3044.37     91.551     6.451
3088.65     91.809     7.360
3133.58     92.148     7.889
3179.16     92.524     7.922
3225.40     92.881     7.459
3272.31     93.190     6.591
3319.91     93.428     5.475
3368.20     93.603     4.291
3417.19     93.732     3.163
3466.89     93.837     2.161
3517.32     93.958     1.283
3568.48     94.127     0.416
3620.39     94.344    -0.582
3673.05     94.616    -1.894
3726.47     94.912    -3.664
3780.67     95.181    -5.924
3835.67     95.390    -8.606
3891.46     95.482   -11.573
3948.06     95.447   -14.612
4005.49     95.283   -17.500
4063.75     95.021   -20.043
4122.86     94.697   -22.098
4182.82     94.363   -23.635
4243.66     94.058   -24.713
4305.39     93.806   -25.464
4368.01     93.595   -26.026
4431.55     93.402   -26.482
4496.01     93.210   -26.861
4561.40     93.016   -27.164
4627.75     92.820   -27.364
4695.06     92.646   -27.471
4763.35     92.473   -27.498
4832.64     92.282   -27.377
4902.93     92.072   -27.023
4974.24     91.831   -26.313
5046.60     91.602   -25.121
5120.00     91.437   -23.449
5194.47     91.383   -21.415
5270.03     91.487   -19.301
5346.68     91.744   -17.467
5424.45     92.136   -16.242
5503.35     92.613   -15.874
5583.40     93.120   -16.467
5664.61     93.594   -17.986
5747.01     93.961   -20.258
5830.60     94.175   -22.998
5915.41     94.201   -25.878
6001.45     94.021   -28.487
6088.74     93.666   -30.407
6177.30     93.221   -31.315
6267.15     92.793   -31.045
6358.31     92.525   -29.723
6450.80     92.528   -27.885
6544.62     92.810   -26.307
6639.82     93.284   -25.601
6736.40     93.852   -26.054
6834.38     94.381   -27.654
6933.79     94.793   -30.160
7034.64     95.077   -33.319
7136.96     95.212   -36.862
7240.77     95.202   -40.509
7346.09     95.058   -44.032
