Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      4.154    30.541
5.07273      4.160    30.637
5.14651      4.169    30.765
5.22137      4.181    30.940
5.29732      4.194    31.140
5.37437      4.207    31.368
5.45254      4.221    31.603
5.53185      4.235    31.844
5.61231      4.250    32.091
5.69394      4.264    32.344
5.77676      4.280    32.603
5.86079      4.295    32.867
5.94604      4.311    33.137
6.03252      4.328    33.412
6.12027      4.345    33.692
6.20929      4.362    33.978
6.29961      4.380    34.269
6.39124      4.398    34.565
6.48420      4.417    34.866
6.57851      4.436    35.172
6.67420      4.456    35.483
6.77128      4.476    35.799
6.86977      4.497    36.121
6.96969      4.518    36.447
7.07107      4.540    36.779
7.17392      4.563    37.115
7.27827      4.586    37.457
7.38413      4.609    37.804
7.49154      4.634    38.157
7.60050      4.659    38.515
7.71105      4.684    38.878
7.82321      4.711    39.247
7.93701      4.738    39.622
8.05245      4.765    40.002
8.16958      4.794    40.389
8.28841      4.823    40.782
8.40896      4.853    41.182
8.53128      4.883    41.589
8.65537      4.915    42.003
8.78126      4.947    42.425
8.90899      4.981    42.855
9.03857      5.015    43.294
9.17004      5.050    43.744
9.30342      5.085    44.204
9.43874      5.122    44.676
9.57603      5.160    45.163
9.71532      5.199    45.665
9.85663      5.239    46.185
10.0000      5.280    46.728
10.1455      5.321    47.313
10.2930      5.362    47.959
10.4427      5.400    48.687
10.5946      5.457    49.472
10.7487      5.540    50.224
10.9051      5.632    50.919
11.0637      5.741    51.519
11.2246      5.844    51.998
11.3879      5.942    52.398
11.5535      6.041    52.745
11.7216      6.143    53.041
11.8921      6.248    53.280
12.0650      6.339    53.487
12.2405      6.413    53.732
12.4186      6.485    54.032
12.5992      6.559    54.374
12.7825      6.627    54.818
12.9684      6.716    55.352
13.1570      6.801    55.925
13.3484      6.890    56.565
13.5426      7.036    57.165
13.7395      7.188    57.646
13.9394      7.353    58.033
14.1421      7.509    58.299
14.3478      7.625    58.544
14.5565      7.735    58.879
14.7683      7.849    59.312
14.9831      7.970    59.858
15.2010      8.139    60.439
15.4221      8.330    60.967
15.6464      8.545    61.415
15.8740      8.764    61.767
16.1049      8.971    62.058
16.3392      9.173    62.334
16.5768      9.383    62.614
16.8179      9.605    62.918
17.0626      9.839    63.238
17.3107     10.075    63.578
17.5625     10.331    63.932
17.8180     10.623    64.257
18.0771     10.925    64.560
18.3401     11.249    64.853
18.6068     11.576    65.121
18.8775     11.912    65.401
19.1521     12.286    65.704
19.4306     12.689    66.018
19.7133     13.130    66.337
20.0000     13.633    66.614
20.2909     14.173    66.834
20.5860     14.778    66.993
20.8855     15.455    67.040
21.1893     16.170    66.969
21.4975     16.946    66.795
21.8102     17.810    66.481
22.1274     18.710    66.043
22.4492     19.654    65.535
22.7758     20.663    64.963
23.1071     21.751    64.330
23.4432     22.973    63.636
23.7841     24.368    62.858
24.1301     25.973    61.899
24.4811     27.795    60.690
24.8372     30.018    59.121
25.1984     32.570    57.084
25.5649     35.213    54.583
25.9368     38.240    51.554
26.3141     41.639    47.843
26.6968     45.291    43.444
27.0851     49.044    38.414
27.4791     52.713    32.690
27.8788     55.868    26.371
28.2843     58.258    19.662
28.6957     59.769    12.713
29.1131     60.057     5.686
29.5365     59.344    -1.261
29.9661     57.915    -7.999
30.4020     55.674   -14.379
30.8442     52.948   -20.240
31.2929     49.940   -25.622
31.7480     46.695   -30.452
32.2098     43.573   -34.629
32.6783     40.900   -38.314
33.1536     38.292   -41.580
33.6359     35.924   -44.428
34.1251     33.883   -46.986
34.6215     31.859   -49.313
35.1250     29.996   -51.354
35.6359     28.309   -53.171
36.1543     26.725   -54.776
36.6802     25.280   -56.178
37.2137     23.965   -57.417
37.7550     22.767   -58.516
38.3041     21.619   -59.467
38.8613     20.546   -60.259
39.4265     19.568   -60.923
40.0000     18.644   -61.447
40.5818     17.827   -61.825
41.1721     17.085   -62.125
41.7710     16.386   -62.364
42.3785     15.758   -62.535
42.9949     15.190   -62.667
43.6203     14.638   -62.754
44.2548     14.122   -62.795
44.8985     13.666   -62.826
45.5515     13.230   -62.834
46.2141     12.823   -62.798
46.8863     12.437   -62.765
47.5683     12.062   -62.738
48.2602     11.729   -62.700
48.9621     11.423   -62.673
49.6743     11.106   -62.655
50.3968     10.779   -62.612
51.1299     10.467   -62.520
51.8736     10.170   -62.359
52.6281      9.896   -62.138
53.3936      9.644   -61.905
54.1702      9.403   -61.676
54.9581      9.178   -61.447
55.7575      8.962   -61.234
56.5685      8.746   -61.032
57.3914      8.521   -60.786
58.2261      8.285   -60.420
59.0730      8.048   -59.894
59.9323      7.849   -59.264
60.8040      7.709   -58.651
61.6884      7.600   -58.118
62.5857      7.508   -57.722
63.4960      7.376   -57.455
64.4196      7.214   -57.201
65.3566      7.058   -56.884
66.3073      6.913   -56.480
67.2717      6.778   -56.003
68.2502      6.623   -55.419
69.2429      6.499   -54.754
70.2501      6.402   -54.125
71.2719      6.317   -53.524
72.3086      6.265   -53.022
73.3603      6.186   -52.662
74.4274      6.090   -52.348
75.5099      5.998   -52.051
76.6083      5.899   -51.730
77.7226      5.800   -51.362
78.8531      5.692   -50.946
80.0000      5.583   -50.451
81.1636      5.481   -49.883
82.3442      5.379   -49.216
83.5419      5.289   -48.446
84.7570      5.200   -47.608
85.9899      5.120   -46.696
87.2406      5.081   -45.826
88.5096      5.062   -45.105
89.7970      5.028   -44.460
91.1031      4.973   -43.804
92.4282      4.904   -43.110
93.7726      4.859   -42.406
95.1366      4.843   -41.736
96.5204      4.851   -41.184
97.9243      4.835   -40.812
99.3486      4.784   -40.508
100.794      4.730   -40.159
102.260      4.687   -39.770
103.747      4.651   -39.362
105.256      4.613   -38.956
106.787      4.566   -38.540
108.340      4.509   -38.076
109.916      4.458   -37.564
111.515      4.422   -37.048
113.137      4.398   -36.584
114.783      4.363   -36.150
116.452      4.301   -35.633
118.146      4.239   -35.001
119.865      4.177   -34.234
121.608      4.145   -33.355
123.377      4.140   -32.529
125.171      4.139   -31.872
126.992      4.138   -31.399
128.839      4.133   -31.087
130.713      4.103   -30.807
132.615      4.043   -30.385
134.543      3.981   -29.776
136.500      3.918   -28.963
138.486      3.886   -27.975
140.500      3.881   -26.985
142.544      3.880   -26.087
144.617      3.880   -25.293
146.721      3.880   -24.585
148.855      3.880   -23.930
151.020      3.880   -23.315
153.217      3.880   -22.732
155.445      3.880   -22.176
157.706      3.880   -21.643
160.000      3.880   -21.130
162.327      3.880   -20.635
164.688      3.880   -20.157
167.084      3.880   -19.693
169.514      3.880   -19.242
171.980      3.880   -18.804
174.481      3.880   -18.377
177.019      3.880   -17.961
179.594      3.880   -17.555
182.206      3.880   -17.159
184.856      3.880   -16.771
187.545      3.880   -16.392
190.273      3.880   -16.021
193.041      3.880   -15.657
195.849      3.880   -15.300
198.697      3.880   -14.949
201.587      3.880   -14.606
204.520      3.880   -14.268
207.494      3.880   -13.936
210.512      3.880   -13.609
213.574      3.880   -13.288
216.681      3.880   -12.972
219.833      3.880   -12.661
223.030      3.880   -12.354
226.274      3.880   -12.051
229.565      3.880   -11.753
232.905      3.880   -11.459
236.292      3.880   -11.169
239.729      3.880   -10.882
243.216      3.880   -10.599
246.754      3.880   -10.319
250.343      3.880   -10.043
253.984      3.880    -9.769
257.678      3.880    -9.499
261.426      3.880    -9.231
265.229      3.880    -8.966
269.087      3.880    -8.703
273.001      3.880    -8.443
276.972      3.880    -8.185
281.000      3.880    -7.929
285.088      3.880    -7.675
289.234      3.880    -7.422
293.441      3.880    -7.172
297.709      3.880    -6.923
302.040      3.880    -6.676
306.433      3.880    -6.430
310.890      3.880    -6.185
315.412      3.880    -5.941
320.000      3.880    -5.698
324.655      3.880    -5.456
329.377      3.880    -5.215
