Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      5.835    62.738
5.07273      5.951    62.847
5.14651      6.071    62.945
5.22137      6.196    63.032
5.29732      6.325    63.108
5.37437      6.459    63.172
5.45254      6.599    63.224
5.53185      6.743    63.263
5.61231      6.894    63.288
5.69394      7.050    63.298
5.77676      7.213    63.294
5.86079      7.382    63.273
5.94604      7.559    63.235
6.03252      7.744    63.179
6.12027      7.936    63.105
6.20929      8.138    63.010
6.29961      8.348    62.893
6.39124      8.569    62.754
6.48420      8.800    62.589
6.57851      9.042    62.399
6.67420      9.297    62.180
6.77128      9.564    61.930
6.86977      9.846    61.648
6.96969     10.142    61.330
7.07107     10.455    60.974
7.17392     10.785    60.576
7.27827     11.134    60.132
7.38413     11.503    59.640
7.49154     11.893    59.093
7.60050     12.308    58.487
7.71105     12.748    57.817
7.82321     13.215    57.075
7.93701     13.712    56.255
8.05245     14.241    55.347
8.16958     14.803    54.345
8.28841     15.403    53.235
8.40896     16.041    52.009
8.53128     16.720    50.651
8.65537     17.442    49.148
8.78126     18.208    47.484
8.90899     19.019    45.642
9.03857     19.873    43.602
9.17004     20.767    41.345
9.30342     21.696    38.850
9.43874     22.650    36.098
9.57603     23.616    33.072
9.71532     24.574    29.758
9.85663     25.499    26.148
10.0000     26.358    22.246
10.1455     27.116    18.067
10.2930     27.734    13.644
10.4427     28.175     9.023
10.5946     28.410     4.269
10.7487     28.420    -0.543
10.9051     28.202    -5.333
11.0637     27.769   -10.022
11.2246     27.148   -14.539
11.3879     26.374   -18.830
11.5535     25.487   -22.853
11.7216     24.523   -26.587
11.8921     23.519   -30.023
12.0650     22.501   -33.162
12.2405     21.492   -36.015
12.4186     20.507   -38.599
12.5992     19.558   -40.931
12.7825     18.650   -43.032
12.9684     17.788   -44.923
13.1570     16.973   -46.621
13.3484     16.205   -48.146
13.5426     15.483   -49.513
13.7395     14.805   -50.737
13.9394     14.168   -51.833
14.1421     13.569   -52.812
14.3478     13.007   -53.684
14.5565     12.479   -54.460
14.7683     11.982   -55.147
14.9831     11.515   -55.752
15.2010     11.074   -56.283
15.4221     10.658   -56.745
15.6464     10.264   -57.143
15.8740      9.892   -57.481
16.1049      9.540   -57.764
16.3392      9.206   -57.993
16.5768      8.888   -58.173
16.8179      8.586   -58.305
17.0626      8.298   -58.392
17.3107      8.024   -58.436
17.5625      7.762   -58.437
17.8180      7.512   -58.397
18.0771      7.272   -58.317
18.3401      7.042   -58.198
18.6068      6.822   -58.038
18.8775      6.610   -57.839
19.1521      6.407   -57.601
19.4306      6.211   -57.322
19.7133      6.023   -57.003
20.0000      5.841   -56.641
20.2909      5.665   -56.236
20.5860      5.495   -55.786
20.8855      5.331   -55.289
21.1893      5.173   -54.743
21.4975      5.019   -54.144
21.8102      4.870   -53.490
22.1274      4.726   -52.777
22.4492      4.586   -52.002
22.7758      4.451   -51.158
23.1071      4.319   -50.240
23.4432      4.192   -49.244
23.7841      4.069   -48.161
24.1301      3.949   -46.984
24.4811      3.834   -45.704
24.8372      3.724   -44.312
25.1984      3.617   -42.798
25.5649      3.516   -41.149
25.9368      3.419   -39.354
26.3141      3.328   -37.400
26.6968      3.243   -35.273
27.0851      3.165   -32.961
27.4791      3.096   -30.452
27.8788      3.035   -27.735
28.2843      2.985   -24.806
28.6957      2.947   -21.663
29.1131      2.923   -18.313
29.5365      2.915   -14.775
29.9661      2.927   -11.076
30.4020      2.960    -7.259
30.8442      3.018    -3.379
31.2929      3.104     0.498
31.7480      3.222     4.296
32.2098      3.374     7.936
32.6783      3.566    11.338
33.1536      3.802    14.427
33.6359      4.087    17.132
34.1251      4.426    19.385
34.6215      4.825    21.126
35.1250      5.293    22.292
35.6359      5.837    22.815
36.1543      6.463    22.621
36.6802      7.178    21.626
37.2137      7.980    19.735
37.7550      8.860    16.851
38.3041      9.788    12.898
38.8613     10.707     7.852
39.4265     11.533     1.799
40.0000     12.163    -5.031
40.5818     12.515   -12.258
41.1721     12.556   -19.430
41.7710     12.319   -26.144
42.3785     11.881   -32.130
42.9949     11.325   -37.278
43.6203     10.722   -41.595
44.2548     10.119   -45.159
44.8985      9.544   -48.071
45.5515      9.010   -50.438
46.2141      8.521   -52.354
46.8863      8.077   -53.899
47.5683      7.675   -55.140
48.2602      7.311   -56.131
48.9621      6.982   -56.917
49.6743      6.683   -57.533
50.3968      6.411   -58.006
51.1299      6.163   -58.361
51.8736      5.936   -58.615
52.6281      5.727   -58.784
53.3936      5.535   -58.881
54.1702      5.357   -58.916
54.9581      5.193   -58.897
55.7575      5.040   -58.833
56.5685      4.897   -58.727
57.3914      4.764   -58.587
58.2261      4.639   -58.416
59.0730      4.521   -58.218
59.9323      4.411   -57.995
60.8040      4.307   -57.752
61.6884      4.209   -57.489
62.5857      4.116   -57.208
63.4960      4.028   -56.913
64.4196      3.944   -56.603
65.3566      3.864   -56.281
66.3073      3.789   -55.948
67.2717      3.717   -55.604
68.2502      3.648   -55.251
69.2429      3.582   -54.889
70.2501      3.519   -54.519
71.2719      3.459   -54.141
72.3086      3.401   -53.757
73.3603      3.346   -53.367
74.4274      3.292   -52.971
75.5099      3.241   -52.570
76.6083      3.192   -52.163
77.7226      3.145   -51.752
78.8531      3.099   -51.337
80.0000      3.056   -50.918
81.1636      3.013   -50.496
82.3442      2.973   -50.070
83.5419      2.933   -49.640
84.7570      2.895   -49.208
85.9899      2.858   -48.773
87.2406      2.823   -48.336
88.5096      2.789   -47.896
89.7970      2.756   -47.454
91.1031      2.723   -47.011
92.4282      2.692   -46.565
93.7726      2.662   -46.118
95.1366      2.633   -45.669
96.5204      2.605   -45.219
97.9243      2.577   -44.768
99.3486      2.551   -44.315
100.794      2.525   -43.862
102.260      2.500   -43.408
103.747      2.476   -42.953
105.256      2.453   -42.497
106.787      2.430   -42.041
108.340      2.408   -41.585
109.916      2.386   -41.128
111.515      2.365   -40.671
113.137      2.345   -40.215
114.783      2.326   -39.758
116.452      2.307   -39.301
118.146      2.288   -38.845
119.865      2.270   -38.388
121.608      2.253   -37.933
123.377      2.236   -37.477
125.171      2.219   -37.023
126.992      2.203   -36.569
128.839      2.187   -36.115
130.713      2.172   -35.663
132.615      2.158   -35.211
134.543      2.143   -34.761
136.500      2.129   -34.311
138.486      2.116   -33.863
140.500      2.103   -33.415
