Freq[Hz]     dBSPL  Phase[Deg]
5.00000     36.033  -119.665
5.07273     36.377  -119.577
5.14651     36.721  -119.488
5.22137     37.066  -119.400
5.29732     37.412  -119.311
5.37437     37.759  -119.223
5.45254     38.106  -119.136
5.53185     38.454  -119.049
5.61231     38.803  -118.963
5.69394     39.153  -118.878
5.77676     39.503  -118.794
5.86079     39.854  -118.710
5.94604     40.206  -118.628
6.03252     40.558  -118.547
6.12027     40.912  -118.467
6.20929     41.266  -118.389
6.29961     41.621  -118.312
6.39124     41.976  -118.237
6.48420     42.333  -118.164
6.57851     42.690  -118.093
6.67420     43.048  -118.023
6.77128     43.407  -117.956
6.86977     43.767  -117.891
6.96969     44.127  -117.828
7.07107     44.489  -117.768
7.17392     44.851  -117.710
7.27827     45.214  -117.655
7.38413     45.578  -117.602
7.49154     45.943  -117.553
7.60050     46.309  -117.506
7.71105     46.675  -117.463
7.82321     47.043  -117.422
7.93701     47.411  -117.385
8.05245     47.781  -117.351
8.16958     48.151  -117.321
8.28841     48.522  -117.295
8.40896     48.894  -117.272
8.53128     49.267  -117.253
8.65537     49.641  -117.238
8.78126     50.016  -117.227
8.90899     50.392  -117.220
9.03857     50.770  -117.217
9.17004     51.148  -117.219
9.30342     51.527  -117.226
9.43874     51.907  -117.237
9.57603     52.288  -117.253
9.71532     52.670  -117.273
9.85663     53.054  -117.299
10.0000     53.438  -117.330
10.1455     53.824  -117.366
10.2930     54.211  -117.408
10.4427     54.599  -117.455
10.5946     54.988  -117.508
10.7487     55.378  -117.567
10.9051     55.770  -117.632
11.0637     56.163  -117.703
11.2246     56.557  -117.781
11.3879     56.953  -117.865
11.5535     57.350  -117.955
11.7216     57.748  -118.053
11.8921     58.148  -118.157
12.0650     58.549  -118.269
12.2405     58.952  -118.389
12.4186     59.357  -118.516
12.5992     59.762  -118.651
12.7825     60.170  -118.795
12.9684     60.579  -118.946
13.1570     60.990  -119.107
13.3484     61.403  -119.277
13.5426     61.817  -119.456
13.7395     62.234  -119.644
13.9394     62.652  -119.843
14.1421     63.073  -120.052
14.3478     63.495  -120.271
14.5565     63.920  -120.502
14.7683     64.346  -120.745
14.9831     64.776  -120.999
15.2010     65.207  -121.266
15.4221     65.641  -121.547
15.6464     66.077  -121.840
15.8740     66.516  -122.148
16.1049     66.958  -122.471
16.3392     67.403  -122.810
16.5768     67.850  -123.165
16.8179     68.301  -123.537
17.0626     68.754  -123.928
17.3107     69.211  -124.337
17.5625     69.672  -124.767
17.8180     70.136  -125.218
18.0771     70.603  -125.691
18.3401     71.075  -126.189
18.6068     71.550  -126.711
18.8775     72.030  -127.261
19.1521     72.514  -127.839
19.4306     73.003  -128.448
19.7133     73.496  -129.090
20.0000     73.994  -129.766
20.2909     74.497  -130.481
20.5860     75.005  -131.236
20.8855     75.519  -132.034
21.1893     76.039  -132.880
21.4975     76.564  -133.776
21.8102     77.096  -134.728
22.1274     77.633  -135.740
22.4492     78.177  -136.817
22.7758     78.728  -137.965
23.1071     79.285  -139.192
23.4432     79.849  -140.503
23.7841     80.419  -141.907
24.1301     80.996  -143.414
24.4811     81.580  -145.032
24.8372     82.169  -146.774
25.1984     82.763  -148.652
25.5649     83.362  -150.678
25.9368     83.965  -152.868
26.3141     84.569  -155.235
26.6968     85.173  -157.797
27.0851     85.774  -160.568
27.4791     86.369  -163.564
27.8788     86.954  -166.799
28.2843     87.524  -170.284
28.6957     88.073  -174.022
29.1131     88.595  -178.015
29.5365     89.084   177.749
29.9661     89.532   173.291
30.4020     89.932   168.643
30.8442     90.279   163.851
31.2929     90.569   158.969
31.7480     90.800   154.058
32.2098     90.971   149.181
32.6783     91.086   144.399
33.1536     91.149   139.765
33.6359     91.166   135.321
34.1251     91.143   131.097
34.6215     91.088   127.111
35.1250     91.007   123.373
35.6359     90.907   119.881
36.1543     90.792   116.629
36.6802     90.669   113.605
37.2137     90.540   110.796
37.7550     90.408   108.185
38.3041     90.277   105.758
38.8613     90.147   103.498
39.4265     90.021   101.390
40.0000     89.899    99.421
40.5818     89.782    97.578
41.1721     89.671    95.847
41.7710     89.566    94.220
42.3785     89.467    92.685
42.9949     89.375    91.234
43.6203     89.289    89.859
44.2548     89.209    88.554
44.8985     89.135    87.311
45.5515     89.067    86.124
46.2141     89.004    84.990
46.8863     88.948    83.903
47.5683     88.896    82.858
48.2602     88.850    81.853
48.9621     88.808    80.884
49.6743     88.772    79.948
50.3968     88.739    79.042
51.1299     88.711    78.163
51.8736     88.687    77.310
52.6281     88.667    76.481
53.3936     88.651    75.673
54.1702     88.638    74.884
54.9581     88.628    74.115
55.7575     88.622    73.362
56.5685     88.618    72.624
57.3914     88.617    71.902
58.2261     88.619    71.192
59.0730     88.624    70.496
59.9323     88.630    69.811
60.8040     88.639    69.136
61.6884     88.651    68.472
62.5857     88.664    67.817
63.4960     88.679    67.171
64.4196     88.695    66.534
65.3566     88.714    65.904
66.3073     88.734    65.281
67.2717     88.755    64.664
68.2502     88.778    64.055
69.2429     88.802    63.451
70.2501     88.827    62.853
71.2719     88.853    62.260
72.3086     88.880    61.672
73.3603     88.908    61.089
74.4274     88.937    60.510
75.5099     88.967    59.936
76.6083     88.998    59.366
77.7226     89.029    58.800
78.8531     89.061    58.237
80.0000     89.093    57.678
81.1636     89.126    57.123
82.3442     89.160    56.571
83.5419     89.193    56.022
84.7570     89.227    55.477
85.9899     89.262    54.934
87.2406     89.296    54.395
88.5096     89.331    53.858
89.7970     89.366    53.325
91.1031     89.401    52.794
92.4282     89.436    52.266
93.7726     89.472    51.740
95.1366     89.507    51.218
96.5204     89.542    50.698
97.9243     89.578    50.180
99.3486     89.613    49.666
100.794     89.648    49.154
102.260     89.683    48.644
103.747     89.718    48.138
105.256     89.752    47.634
106.787     89.787    47.132
108.340     89.821    46.633
109.916     89.855    46.137
111.515     89.889    45.644
113.137     89.923    45.154
114.783     89.956    44.666
116.452     89.989    44.181
118.146     90.021    43.698
119.865     90.054    43.219
121.608     90.086    42.742
123.377     90.117    42.268
125.171     90.149    41.797
126.992     90.179    41.329
128.839     90.210    40.864
130.713     90.240    40.402
132.615     90.270    39.943
134.543     90.299    39.487
136.500     90.328    39.034
138.486     90.357    38.584
140.500     90.385    38.138
142.544     90.413    37.694
