Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -2.939  -164.623
5.07273     -2.838  -164.633
5.14651     -2.680  -164.646
5.22137     -2.456  -164.661
5.29732     -2.201  -164.676
5.37437     -1.932  -164.691
5.45254     -1.660  -164.703
5.53185     -1.387  -164.714
5.61231     -1.115  -164.723
5.69394     -0.842  -164.732
5.77676     -0.569  -164.740
5.86079     -0.297  -164.749
5.94604     -0.024  -164.757
6.03252      0.248  -164.764
6.12027      0.521  -164.772
6.20929      0.794  -164.780
6.29961      1.067  -164.787
6.39124      1.339  -164.794
6.48420      1.612  -164.802
6.57851      1.885  -164.809
6.67420      2.157  -164.816
6.77128      2.430  -164.823
6.86977      2.703  -164.829
6.96969      2.976  -164.836
7.07107      3.248  -164.843
7.17392      3.521  -164.850
7.27827      3.794  -164.857
7.38413      4.066  -164.864
7.49154      4.339  -164.871
7.60050      4.612  -164.877
7.71105      4.885  -164.884
7.82321      5.158  -164.890
7.93701      5.430  -164.897
8.05245      5.703  -164.903
8.16958      5.976  -164.910
8.28841      6.249  -164.916
8.40896      6.522  -164.923
8.53128      6.794  -164.930
8.65537      7.067  -164.936
8.78126      7.340  -164.943
8.90899      7.613  -164.950
9.03857      7.886  -164.957
9.17004      8.158  -164.963
9.30342      8.431  -164.970
9.43874      8.704  -164.977
9.57603      8.977  -164.984
9.71532      9.250  -164.991
9.85663      9.523  -164.997
10.0000      9.796  -165.004
10.1455     10.068  -165.011
10.2930     10.341  -165.018
10.4427     10.614  -165.025
10.5946     10.887  -165.032
10.7487     11.160  -165.039
10.9051     11.433  -165.046
11.0637     11.706  -165.053
11.2246     11.979  -165.060
11.3879     12.252  -165.067
11.5535     12.525  -165.074
11.7216     12.798  -165.082
11.8921     13.071  -165.089
12.0650     13.344  -165.097
12.2405     13.617  -165.104
12.4186     13.890  -165.112
12.5992     14.163  -165.120
12.7825     14.436  -165.127
12.9684     14.709  -165.135
13.1570     14.982  -165.143
13.3484     15.255  -165.151
13.5426     15.528  -165.159
13.7395     15.801  -165.167
13.9394     16.075  -165.175
14.1421     16.348  -165.184
14.3478     16.621  -165.192
14.5565     16.895  -165.200
14.7683     17.168  -165.209
14.9831     17.441  -165.218
15.2010     17.714  -165.226
15.4221     17.987  -165.235
15.6464     18.261  -165.244
15.8740     18.534  -165.253
16.1049     18.807  -165.262
16.3392     19.081  -165.271
16.5768     19.354  -165.281
16.8179     19.628  -165.290
17.0626     19.901  -165.300
17.3107     20.175  -165.309
17.5625     20.448  -165.319
17.8180     20.722  -165.329
18.0771     20.995  -165.339
18.3401     21.269  -165.349
18.6068     21.542  -165.360
18.8775     21.816  -165.370
19.1521     22.090  -165.381
19.4306     22.363  -165.392
19.7133     22.637  -165.403
20.0000     22.911  -165.414
20.2909     23.185  -165.425
20.5860     23.459  -165.437
20.8855     23.732  -165.448
21.1893     24.006  -165.460
21.4975     24.280  -165.472
21.8102     24.554  -165.484
22.1274     24.828  -165.497
22.4492     25.103  -165.509
22.7758     25.377  -165.522
23.1071     25.651  -165.535
23.4432     25.925  -165.549
23.7841     26.199  -165.562
24.1301     26.473  -165.576
24.4811     26.748  -165.590
24.8372     27.022  -165.604
25.1984     27.297  -165.619
25.5649     27.571  -165.634
25.9368     27.846  -165.649
26.3141     28.120  -165.664
26.6968     28.395  -165.679
27.0851     28.670  -165.695
27.4791     28.945  -165.711
27.8788     29.220  -165.728
28.2843     29.495  -165.745
28.6957     29.770  -165.762
29.1131     30.045  -165.779
29.5365     30.320  -165.797
29.9661     30.595  -165.815
30.4020     30.870  -165.834
30.8442     31.146  -165.853
31.2929     31.421  -165.872
31.7480     31.697  -165.892
32.2098     31.972  -165.912
32.6783     32.248  -165.932
33.1536     32.524  -165.953
33.6359     32.800  -165.975
34.1251     33.076  -165.997
34.6215     33.352  -166.019
35.1250     33.628  -166.042
35.6359     33.904  -166.066
36.1543     34.181  -166.090
36.6802     34.457  -166.114
37.2137     34.734  -166.139
37.7550     35.011  -166.165
38.3041     35.288  -166.191
38.8613     35.565  -166.218
39.4265     35.842  -166.246
40.0000     36.119  -166.274
40.5818     36.396  -166.303
41.1721     36.674  -166.333
41.7710     36.951  -166.363
42.3785     37.229  -166.394
42.9949     37.507  -166.426
43.6203     37.785  -166.459
44.2548     38.063  -166.493
44.8985     38.341  -166.527
45.5515     38.620  -166.562
46.2141     38.898  -166.598
46.8863     39.177  -166.636
47.5683     39.456  -166.674
48.2602     39.735  -166.713
48.9621     40.015  -166.754
49.6743     40.295  -166.795
50.3968     40.574  -166.838
51.1299     40.854  -166.882
51.8736     41.135  -166.927
52.6281     41.415  -166.973
53.3936     41.696  -167.021
54.1702     41.976  -167.070
54.9581     42.257  -167.121
55.7575     42.538  -167.173
56.5685     42.820  -167.227
57.3914     43.102  -167.282
58.2261     43.384  -167.339
59.0730     43.666  -167.397
59.9323     43.948  -167.457
60.8040     44.231  -167.520
61.6884     44.514  -167.584
62.5857     44.797  -167.650
63.4960     45.081  -167.718
64.4196     45.364  -167.789
65.3566     45.648  -167.861
66.3073     45.933  -167.936
67.2717     46.217  -168.014
