Freq[Hz]     dBSPL  Phase[Deg]
5.00000      6.388  -165.526
5.07273      6.523  -165.556
5.14651      6.720  -165.591
5.22137      6.978  -165.630
5.29732      7.247  -165.661
5.37437      7.519  -165.690
5.45254      7.792  -165.715
5.53185      8.065  -165.739
5.61231      8.337  -165.763
5.69394      8.610  -165.786
5.77676      8.882  -165.810
5.86079      9.155  -165.834
5.94604      9.427  -165.858
6.03252      9.700  -165.881
6.12027      9.973  -165.905
6.20929     10.245  -165.929
6.29961     10.518  -165.953
6.39124     10.790  -165.978
6.48420     11.063  -166.002
6.57851     11.335  -166.027
6.67420     11.608  -166.051
6.77128     11.881  -166.076
6.86977     12.153  -166.101
6.96969     12.426  -166.126
7.07107     12.698  -166.152
7.17392     12.971  -166.178
7.27827     13.243  -166.204
7.38413     13.516  -166.231
7.49154     13.789  -166.257
7.60050     14.061  -166.284
7.71105     14.334  -166.311
7.82321     14.606  -166.338
7.93701     14.879  -166.366
8.05245     15.152  -166.394
8.16958     15.424  -166.422
8.28841     15.697  -166.450
8.40896     15.969  -166.479
8.53128     16.242  -166.509
8.65537     16.514  -166.538
8.78126     16.787  -166.568
8.90899     17.060  -166.598
9.03857     17.332  -166.629
9.17004     17.605  -166.660
9.30342     17.877  -166.691
9.43874     18.150  -166.723
9.57603     18.422  -166.755
9.71532     18.695  -166.788
9.85663     18.968  -166.821
10.0000     19.240  -166.854
10.1455     19.513  -166.888
10.2930     19.785  -166.922
10.4427     20.058  -166.956
10.5946     20.330  -166.991
10.7487     20.603  -167.027
10.9051     20.876  -167.063
11.0637     21.148  -167.099
11.2246     21.421  -167.136
11.3879     21.693  -167.173
11.5535     21.966  -167.211
11.7216     22.239  -167.249
11.8921     22.511  -167.288
12.0650     22.784  -167.327
12.2405     23.056  -167.367
12.4186     23.329  -167.408
12.5992     23.601  -167.449
12.7825     23.874  -167.490
12.9684     24.147  -167.532
13.1570     24.419  -167.575
13.3484     24.692  -167.618
13.5426     24.964  -167.662
13.7395     25.237  -167.706
13.9394     25.509  -167.751
14.1421     25.782  -167.796
14.3478     26.055  -167.842
14.5565     26.327  -167.889
14.7683     26.600  -167.937
14.9831     26.872  -167.985
15.2010     27.145  -168.033
15.4221     27.417  -168.083
15.6464     27.690  -168.133
15.8740     27.963  -168.184
16.1049     28.235  -168.235
16.3392     28.508  -168.287
16.5768     28.780  -168.340
16.8179     29.053  -168.393
17.0626     29.326  -168.448
17.3107     29.598  -168.503
17.5625     29.871  -168.559
17.8180     30.143  -168.615
18.0771     30.416  -168.673
18.3401     30.688  -168.731
18.6068     30.961  -168.790
18.8775     31.234  -168.850
19.1521     31.506  -168.911
19.4306     31.779  -168.973
19.7133     32.051  -169.035
20.0000     32.324  -169.098
20.2909     32.596  -169.163
20.5860     32.869  -169.228
20.8855     33.142  -169.294
21.1893     33.414  -169.361
21.4975     33.687  -169.429
21.8102     33.959  -169.498
22.1274     34.232  -169.568
22.4492     34.504  -169.639
22.7758     34.777  -169.711
23.1071     35.050  -169.785
23.4432     35.322  -169.859
23.7841     35.595  -169.934
24.1301     35.867  -170.010
24.4811     36.140  -170.088
24.8372     36.413  -170.166
25.1984     36.685  -170.246
25.5649     36.958  -170.327
25.9368     37.230  -170.409
26.3141     37.503  -170.492
26.6968     37.775  -170.576
27.0851     38.048  -170.662
27.4791     38.321  -170.749
27.8788     38.593  -170.837
28.2843     38.866  -170.926
28.6957     39.138  -171.017
29.1131     39.411  -171.109
29.5365     39.683  -171.203
29.9661     39.956  -171.298
30.4020     40.229  -171.394
30.8442     40.501  -171.492
31.2929     40.774  -171.591
31.7480     41.046  -171.691
32.2098     41.319  -171.793
32.6783     41.591  -171.897
33.1536     41.864  -172.002
33.6359     42.137  -172.109
34.1251     42.409  -172.217
34.6215     42.682  -172.327
35.1250     42.954  -172.439
35.6359     43.227  -172.552
36.1543     43.500  -172.667
36.6802     43.772  -172.783
37.2137     44.045  -172.902
37.7550     44.317  -173.022
38.3041     44.590  -173.144
38.8613     44.862  -173.268
39.4265     45.135  -173.394
40.0000     45.408  -173.522
40.5818     45.680  -173.651
41.1721     45.953  -173.783
41.7710     46.225  -173.916
42.3785     46.498  -174.052
42.9949     46.770  -174.190
43.6203     47.043  -174.330
44.2548     47.316  -174.472
44.8985     47.588  -174.616
45.5515     47.861  -174.762
46.2141     48.133  -174.911
46.8863     48.406  -175.062
47.5683     48.678  -175.215
48.2602     48.951  -175.371
48.9621     49.224  -175.529
49.6743     49.496  -175.690
50.3968     49.769  -175.853
51.1299     50.041  -176.019
51.8736     50.314  -176.187
52.6281     50.587  -176.359
53.3936     50.859  -176.532
54.1702     51.132  -176.709
54.9581     51.404  -176.888
55.7575     51.677  -177.071
56.5685     51.949  -177.256
57.3914     52.222  -177.445
58.2261     52.495  -177.636
59.0730     52.767  -177.830
59.9323     53.040  -178.028
60.8040     53.312  -178.229
61.6884     53.585  -178.434
62.5857     53.857  -178.641
63.4960     54.130  -178.853
64.4196     54.403  -179.067
65.3566     54.675  -179.286
66.3073     54.948  -179.508
67.2717     55.220  -179.734
68.2502     55.493  -179.963
69.2429     55.765   179.803
70.2501     56.038   179.565
71.2719     56.311   179.323
72.3086     56.583   179.077
73.3603     56.856   178.826
74.4274     57.128   178.571
75.5099     57.401   178.312
76.6083     57.674   178.048
77.7226     57.946   177.779
78.8531     58.219   177.505
80.0000     58.491   177.226
81.1636     58.764   176.942
82.3442     59.036   176.653
83.5419     59.309   176.358
84.7570     59.582   176.058
85.9899     59.854   175.753
87.2406     60.127   175.442
88.5096     60.399   175.125
89.7970     60.672   174.803
91.1031     60.944   174.476
92.4282     61.217   174.143
93.7726     61.490   173.807
95.1366     61.762   173.469
96.5204     62.035   173.131
97.9243     62.308   172.795
99.3486     62.584   172.457
100.794     62.866   172.107
102.260     63.154   171.735
103.747     63.447   171.326
105.256     63.743   170.866
106.787     64.041   170.349
108.340     64.334   169.781
109.916     64.616   169.178
111.515     64.900   168.533
113.137     65.183   167.831
114.783     65.465   167.076
116.452     65.741   166.265
118.146     65.994   165.411
119.865     66.225   164.556
121.608     66.443   163.727
123.377     66.649   162.943
125.171     66.851   162.216
126.992     67.052   161.538
128.839     67.249   160.903
130.713     67.444   160.307
132.615     67.640   159.746
134.543     67.835   159.217
136.500     68.031   158.716
138.486     68.227   158.242
140.500     68.424   157.792
142.544     68.622   157.363
144.617     68.823   156.949
146.721     69.029   156.539
148.855     69.237   156.128
151.020     69.445   155.713
153.217     69.653   155.293
155.445     69.860   154.863
157.706     70.069   154.420
160.000     70.276   153.965
162.327     70.479   153.499
164.688     70.673   153.036
167.084     70.856   152.600
169.514     71.032   152.209
171.980     71.205   151.872
174.481     71.386   151.579
177.019     71.574   151.314
179.594     71.761   151.081
182.206     71.945   150.889
184.856     72.123   150.753
187.545     72.306   150.683
190.273     72.511   150.656
193.041     72.743   150.616
195.849     72.991   150.524
198.697     73.247   150.352
201.587     73.500   150.091
204.520     73.741   149.768
207.494     73.975   149.416
210.512     74.202   149.049
213.574     74.425   148.683
216.681     74.646   148.320
219.833     74.867   147.959
223.030     75.084   147.606
226.274     75.294   147.273
229.565     75.501   146.967
232.905     75.709   146.693
236.292     75.921   146.448
239.729     76.139   146.226
243.216     76.362   146.014
246.754     76.589   145.806
250.343     76.820   145.598
253.984     77.054   145.392
257.678     77.293   145.185
261.426     77.535   144.976
265.229     77.784   144.761
269.087     78.042   144.528
273.001     78.309   144.265
276.972     78.583   143.958
281.000     78.863   143.592
285.088     79.148   143.154
289.234     79.435   142.637
293.441     79.721   142.038
297.709     79.997   141.369
302.040     80.261   140.654
306.433     80.512   139.917
310.890     80.753   139.179
315.412     80.988   138.458
320.000     81.225   137.749
324.655     81.464   137.040
329.377     81.702   136.329
334.168     81.941   135.611
339.028     82.181   134.873
343.959     82.420   134.118
348.962     82.663   133.341
354.038     82.910   132.520
359.188     83.160   131.637
364.412     83.414   130.678
369.713     83.665   129.630
375.090     83.900   128.501
380.546     84.119   127.308
386.081     84.325   126.054
391.697     84.514   124.764
397.394     84.680   123.476
403.175     84.815   122.235
409.039     84.917   121.091
414.989     85.009   120.069
421.025     85.102   119.173
427.149     85.212   118.385
433.362     85.328   117.666
439.665     85.444   116.993
446.060     85.569   116.342
452.548     85.698   115.700
459.131     85.833   115.065
465.809     85.972   114.417
472.584     86.103   113.757
479.458     86.225   113.113
486.432     86.338   112.510
493.507     86.444   111.967
500.686     86.548   111.498
507.968     86.657   111.108
515.357     86.784   110.773
522.853     86.917   110.475
530.458     87.059   110.209
538.174     87.219   109.937
546.002     87.387   109.635
553.943     87.574   109.284
562.001     87.774   108.842
570.175     87.967   108.306
578.469     88.153   107.692
586.883     88.320   107.025
595.419     88.466   106.356
604.080     88.598   105.728
612.866     88.716   105.169
621.780     88.828   104.712
630.824     88.939   104.378
640.000     89.046   104.187
649.309     89.166   104.147
658.753     89.320   104.220
668.335     89.507   104.358
678.056     89.740   104.498
687.919     90.028   104.510
697.925     90.359   104.276
708.077     90.727   103.722
718.376     91.103   102.804
728.825     91.433   101.578
739.426     91.710   100.148
750.181     91.931    98.614
761.093     92.114    97.068
772.163     92.285    95.551
783.394     92.448    94.045
794.789     92.601    92.535
806.349     92.734    91.018
818.078     92.835    89.523
829.977     92.904    88.093
842.050     92.947    86.774
854.298     92.974    85.599
866.724     92.995    84.585
879.330     93.016    83.736
892.120     93.038    83.055
905.097     93.064    82.541
918.262     93.109    82.175
931.618     93.190    81.901
945.169     93.308    81.653
958.917     93.468    81.347
972.864     93.661    80.886
987.015     93.867    80.225
1001.37     94.072    79.366
1015.94     94.254    78.346
1030.71     94.395    77.241
1045.71     94.506    76.126
1060.92     94.601    75.041
1076.35     94.693    74.010
1092.00     94.787    73.032
1107.89     94.877    72.095
1124.00     94.960    71.195
1140.35     95.045    70.336
1156.94     95.137    69.510
1173.77     95.236    68.689
1190.84     95.359    67.811
1208.16     95.515    66.784
1225.73     95.659    65.600
1243.56     95.769    64.333
1261.65     95.823    63.058
1280.00     95.819    61.887
1298.62     95.809    60.894
1317.51     95.845    60.008
1336.67     95.938    59.089
1356.11     96.050    58.036
1375.84     96.139    56.830
1395.85     96.175    55.521
1416.15     96.146    54.233
1436.75     96.070    53.126
1457.65     95.974    52.290
1478.85     95.880    51.743
1500.36     95.809    51.458
1522.19     95.790    51.344
1544.33     95.833    51.253
1566.79     95.922    51.051
1589.58     96.038    50.662
1612.70     96.148    50.076
1636.16     96.225    49.352
1659.95     96.267    48.578
1684.10     96.281    47.848
1708.60     96.284    47.222
1733.45     96.290    46.702
1758.66     96.327    46.208
1784.24     96.412    45.597
1810.19     96.517    44.784
1836.52     96.603    43.791
1863.24     96.589    42.781
1890.34     96.454    42.026
1917.83     96.260    41.730
1945.73     96.111    41.919
1974.03     96.100    42.417
2002.74     96.214    42.924
2031.87     96.382    43.220
2061.43     96.539    43.235
2091.41     96.678    43.020
2121.83     96.837    42.600
2152.69     97.032    41.923
2184.01     97.237    40.946
2215.77     97.392    39.724
2248.00     97.448    38.422
2280.70     97.411    37.227
2313.87     97.321    36.283
2347.53     97.245    35.657
2381.68     97.229    35.270
2416.32     97.265    34.975
2451.46     97.327    34.654
2487.12     97.398    34.248
2523.30     97.480    33.719
2560.00     97.584    33.009
2597.24     97.707    32.077
2635.01     97.808    30.948
2673.34     97.831    29.755
2712.23     97.775    28.639
2751.68     97.675    27.693
2791.70     97.576    26.987
2832.31     97.531    26.481
2873.50     97.523    26.036
2915.30     97.522    25.565
2957.70     97.522    25.030
3000.72     97.521    24.428
3044.37     97.517    23.776
3088.65     97.490    23.119
3133.58     97.424    22.539
3179.16     97.341    22.091
3225.40     97.255    21.784
3272.31     97.194    21.611
3319.91     97.172    21.506
3368.20     97.169    21.390
3417.19     97.168    21.232
3466.89     97.168    21.033
3517.32     97.168    20.807
3568.48     97.168    20.565
3620.39     97.168    20.314
3673.05     97.168    20.055
3726.47     97.168    19.791
3780.67     97.168    19.520
3835.67     97.168    19.243
3891.46     97.168    18.955
3948.06     97.168    18.651
4005.49     97.167    18.330
4063.75     97.159    18.001
4122.86     97.138    17.692
4182.82     97.103    17.438
4243.66     97.061    17.263
4305.39     97.025    17.170
4368.01     97.006    17.141
4431.55     97.007    17.134
4496.01     97.021    17.109
4561.40     97.042    17.041
4627.75     97.067    16.923
4695.06     97.093    16.753
4763.35     97.117    16.538
4832.64     97.139    16.283
4902.93     97.155    16.001
4974.24     97.164    15.702
5046.60     97.166    15.399
5120.00     97.162    15.105
5194.47     97.155    14.826
5270.03     97.146    14.565
5346.68     97.134    14.323
5424.45     97.122    14.099
5503.35     97.111    13.890
5583.40     97.099    13.694
5664.61     97.087    13.509
5747.01     97.075    13.334
5830.60     97.063    13.168
5915.41     97.051    13.010
6001.45     97.039    12.860
6088.74     97.028    12.718
6177.30     97.016    12.583
6267.15     97.004    12.454
6358.31     96.992    12.333
6450.80     96.980    12.218
6544.62     96.968    12.110
6639.82     96.956    12.009
6736.40     96.944    11.914
6834.38     96.933    11.825
6933.79     96.921    11.744
7034.64     96.909    11.668
7136.96     96.897    11.599
7240.77     96.885    11.537
7346.09     96.873    11.481
7452.94     96.861    11.432
7561.35     96.850    11.391
7671.33     96.838    11.356
7782.91     96.826    11.329
7896.12     96.814    11.309
8010.97     96.802    11.297
8127.49     96.790    11.294
8245.71     96.778    11.299
8365.65     96.766    11.314
8487.33     96.755    11.338
8610.78     96.743    11.374
8736.03     96.731    11.421
8863.09     96.719    11.480
8992.01     96.707    11.554
9122.80     96.695    11.642
9255.50     96.683    11.743
9390.12     96.671    11.866
9526.70     96.656    12.038
9665.27     96.627    12.310
9805.86     96.585    12.736
9948.49     96.582    13.271
10093.2     96.641    13.778
10240.0     96.760    14.134
10388.9     96.919    14.218
10540.1     97.043    14.021
10693.4     97.108    13.663
10848.9     97.119    13.283
11006.7     97.110    12.973
11166.8     97.113    12.736
11329.2     97.124    12.544
11494.0     97.148    12.351
11661.2     97.163    12.118
11830.8     97.156    11.877
12002.9     97.128    11.685
12177.5     97.090    11.575
12354.6     97.059    11.539
12534.3     97.035    11.564
12716.6     97.021    11.645
12901.6     97.015    11.746
13089.2     97.002    11.860
13279.6     96.993    12.018
13472.8     96.992    12.216
13668.8     96.997    12.455
13867.6     97.021    12.714
14069.3     97.066    12.950
14273.9     97.130    13.130
14481.5     97.226    13.178
14692.2     97.342    12.996
14905.9     97.469    12.530
15122.7     97.588    11.765
15342.7     97.658    10.746
15565.8     97.619     9.664
15792.2     97.484     8.732
16021.9     97.281     8.086
16255.0     97.045     7.855
16491.4     96.856     8.043
16731.3     96.715     8.507
16974.7     96.602     9.153
17221.6     96.533     9.879
17472.1     96.487    10.607
17726.2     96.468    11.309
17984.0     96.484    11.922
18245.6     96.509    12.408
18511.0     96.516    12.818
18780.2     96.516    13.181
19053.4     96.494    13.524
19330.5     96.466    13.905
19611.7     96.436    14.361
19897.0     96.391    14.932
20186.4     96.333    15.666
20480.0     96.269    16.615
20777.9     96.245    17.772
21080.1     96.269    19.061
21386.7     96.358    20.382
21697.8     96.495    21.622
22013.4     96.662    22.726
22333.6     96.865    23.643
22658.4     97.103    24.303
22988.0     97.365    24.670
23322.4     97.644    24.699
23661.6     97.917    24.355
24005.8     98.151    23.671
24355.0     98.345    22.733
24709.2     98.464    21.678
25068.6     98.492    20.703
25433.2     98.428    20.010
25803.2     98.351    19.665
26178.5     98.331    19.578
26559.3     98.394    19.585
26945.6     98.527    19.485
27337.5     98.648    19.160
27735.2     98.716    18.673
28138.6     98.726    18.192
28547.9     98.694    17.884
28963.1     98.660    17.819
29384.4     98.660    17.951
29811.8     98.745    18.118
30245.4     98.906    18.100
30685.3     99.113    17.733
31131.7     99.309    16.956
31584.5     99.441    15.872
32043.9     99.477    14.697
32510.0     99.432    13.617
32982.8     99.346    12.723
33462.6     99.311    11.941
33949.3     99.355    11.096
34443.1     99.412    10.095
34944.1     99.397     8.980
35452.4     99.271     7.858
35968.0     99.084     6.834
36491.2     98.919     5.932
37022.0     98.802     5.095
37560.5     98.669     4.286
38106.8     98.433     3.531
38661.1     98.061     3.016
39223.4     97.693     2.715
39793.9     97.391     2.606
