Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      3.245     0.699
5.07273      3.245     0.703
5.14651      3.245     0.709
5.22137      3.245     0.717
5.29732      3.245     0.726
5.37437      3.245     0.737
5.45254      3.245     0.747
5.53185      3.245     0.757
5.61231      3.245     0.768
5.69394      3.245     0.779
5.77676      3.245     0.790
5.86079      3.245     0.801
5.94604      3.245     0.812
6.03252      3.245     0.823
6.12027      3.245     0.835
6.20929      3.245     0.847
6.29961      3.245     0.859
6.39124      3.245     0.871
6.48420      3.245     0.883
6.57851      3.245     0.895
6.67420      3.245     0.908
6.77128      3.246     0.921
6.86977      3.246     0.934
6.96969      3.246     0.947
7.07107      3.246     0.960
7.17392      3.246     0.974
7.27827      3.246     0.988
7.38413      3.246     1.002
7.49154      3.246     1.016
7.60050      3.246     1.031
7.71105      3.246     1.045
7.82321      3.246     1.060
7.93701      3.246     1.075
8.05245      3.246     1.090
8.16958      3.246     1.106
8.28841      3.246     1.122
8.40896      3.246     1.138
8.53128      3.246     1.154
8.65537      3.246     1.170
8.78126      3.246     1.187
8.90899      3.246     1.204
9.03857      3.246     1.221
9.17004      3.246     1.238
9.30342      3.247     1.256
9.43874      3.247     1.274
9.57603      3.247     1.292
9.71532      3.247     1.311
9.85663      3.247     1.329
10.0000      3.247     1.348
10.1455      3.247     1.367
10.2930      3.247     1.387
10.4427      3.247     1.407
10.5946      3.247     1.427
10.7487      3.247     1.447
10.9051      3.247     1.468
11.0637      3.247     1.489
11.2246      3.247     1.510
11.3879      3.248     1.532
11.5535      3.248     1.554
11.7216      3.248     1.576
11.8921      3.248     1.598
12.0650      3.248     1.621
12.2405      3.248     1.644
12.4186      3.248     1.668
12.5992      3.248     1.692
12.7825      3.248     1.716
12.9684      3.248     1.740
13.1570      3.249     1.765
13.3484      3.249     1.790
13.5426      3.249     1.816
13.7395      3.249     1.842
13.9394      3.249     1.868
14.1421      3.249     1.895
14.3478      3.249     1.922
14.5565      3.249     1.949
14.7683      3.250     1.977
14.9831      3.250     2.006
15.2010      3.250     2.034
15.4221      3.250     2.063
15.6464      3.250     2.093
15.8740      3.250     2.123
16.1049      3.250     2.153
16.3392      3.251     2.184
16.5768      3.251     2.215
16.8179      3.251     2.247
17.0626      3.251     2.279
17.3107      3.251     2.312
17.5625      3.252     2.345
17.8180      3.252     2.378
18.0771      3.252     2.412
18.3401      3.252     2.447
18.6068      3.252     2.482
18.8775      3.253     2.517
19.1521      3.253     2.553
19.4306      3.253     2.589
19.7133      3.253     2.626
20.0000      3.253     2.664
20.2909      3.254     2.702
20.5860      3.254     2.740
20.8855      3.254     2.779
21.1893      3.255     2.819
21.4975      3.255     2.859
21.8102      3.255     2.900
22.1274      3.255     2.941
22.4492      3.256     2.983
22.7758      3.256     3.026
23.1071      3.256     3.069
23.4432      3.257     3.113
23.7841      3.257     3.157
24.1301      3.257     3.202
24.4811      3.258     3.247
24.8372      3.258     3.294
25.1984      3.258     3.340
25.5649      3.259     3.388
25.9368      3.259     3.436
26.3141      3.259     3.485
26.6968      3.260     3.534
27.0851      3.260     3.585
27.4791      3.261     3.636
27.8788      3.261     3.687
28.2843      3.262     3.739
28.6957      3.262     3.793
29.1131      3.262     3.846
29.5365      3.263     3.901
29.9661      3.263     3.956
30.4020      3.264     4.012
30.8442      3.264     4.069
31.2929      3.265     4.127
31.7480      3.266     4.185
32.2098      3.266     4.244
32.6783      3.267     4.304
33.1536      3.267     4.365
33.6359      3.268     4.427
34.1251      3.269     4.489
34.6215      3.269     4.553
35.1250      3.270     4.617
35.6359      3.270     4.682
36.1543      3.271     4.748
36.6802      3.272     4.815
37.2137      3.273     4.883
37.7550      3.273     4.952
38.3041      3.274     5.021
38.8613      3.275     5.092
39.4265      3.276     5.164
40.0000      3.277     5.236
40.5818      3.277     5.310
41.1721      3.278     5.384
41.7710      3.279     5.460
42.3785      3.280     5.537
42.9949      3.281     5.614
43.6203      3.282     5.693
44.2548      3.283     5.773
44.8985      3.284     5.854
45.5515      3.285     5.936
46.2141      3.286     6.019
46.8863      3.287     6.103
47.5683      3.288     6.188
48.2602      3.290     6.275
48.9621      3.291     6.362
49.6743      3.292     6.451
50.3968      3.293     6.541
51.1299      3.295     6.632
51.8736      3.296     6.724
52.6281      3.297     6.818
53.3936      3.299     6.913
54.1702      3.300     7.009
54.9581      3.302     7.106
55.7575      3.303     7.205
56.5685      3.305     7.305
57.3914      3.306     7.406
58.2261      3.308     7.509
59.0730      3.310     7.613
59.9323      3.311     7.718
60.8040      3.313     7.825
61.6884      3.315     7.933
62.5857      3.317     8.042
63.4960      3.319     8.153
64.4196      3.321     8.266
65.3566      3.323     8.380
66.3073      3.325     8.495
67.2717      3.327     8.612
68.2502      3.329     8.730
69.2429      3.331     8.850
70.2501      3.333     8.972
71.2719      3.336     9.095
72.3086      3.338     9.219
73.3603      3.341     9.346
74.4274      3.343     9.474
75.5099      3.346     9.603
76.6083      3.349     9.735
77.7226      3.351     9.868
78.8531      3.354    10.002
80.0000      3.357    10.139
81.1636      3.360    10.277
82.3442      3.363    10.417
83.5419      3.366    10.559
84.7570      3.369    10.703
85.9899      3.373    10.849
87.2406      3.376    10.996
88.5096      3.379    11.146
89.7970      3.383    11.298
91.1031      3.387    11.451
92.4282      3.390    11.606
93.7726      3.394    11.763
95.1366      3.398    11.921
96.5204      3.402    12.080
97.9243      3.406    12.239
99.3486      3.410    12.402
100.794      3.413    12.577
102.260      3.414    12.774
103.747      3.416    12.998
105.256      3.419    13.249
106.787      3.426    13.511
108.340      3.437    13.767
109.916      3.451    13.996
111.515      3.466    14.185
113.137      3.481    14.328
114.783      3.496    14.426
116.452      3.510    14.485
118.146      3.520    14.520
119.865      3.526    14.549
121.608      3.529    14.588
123.377      3.530    14.653
125.171      3.530    14.748
126.992      3.530    14.872
128.839      3.530    15.020
130.713      3.530    15.189
132.615      3.530    15.378
134.543      3.530    15.586
136.500      3.530    15.816
138.486      3.530    16.070
140.500      3.530    16.352
142.544      3.530    16.675
144.617      3.530    17.049
146.721      3.531    17.476
148.855      3.539    17.932
151.020      3.560    18.355
153.217      3.587    18.698
155.445      3.614    18.963
157.706      3.635    19.170
160.000      3.644    19.370
162.327      3.651    19.614
164.688      3.667    19.883
167.084      3.691    20.131
169.514      3.718    20.327
171.980      3.741    20.471
174.481      3.754    20.601
177.019      3.760    20.769
179.594      3.767    20.996
182.206      3.783    21.248
184.856      3.807    21.473
187.545      3.835    21.642
190.273      3.857    21.752
193.041      3.870    21.839
195.849      3.874    21.957
198.697      3.875    22.158
201.587      3.875    22.462
204.520      3.877    22.864
207.494      3.892    23.323
210.512      3.920    23.761
213.574      3.952    24.149
216.681      3.993    24.452
219.833      4.029    24.642
223.030      4.059    24.773
226.274      4.083    24.903
229.565      4.098    25.074
232.905      4.106    25.329
236.292      4.122    25.664
239.729      4.152    26.014
243.216      4.190    26.333
246.754      4.238    26.578
250.343      4.278    26.736
253.984      4.303    26.885
257.678      4.329    27.054
261.426      4.362    27.212
265.229      4.392    27.391
269.087      4.426    27.598
273.001      4.452    27.817
276.972      4.476    28.064
281.000      4.510    28.331
285.088      4.557    28.581
289.234      4.607    28.788
293.441      4.645    28.973
297.709      4.679    29.177
302.040      4.713    29.409
306.433      4.757    29.659
310.890      4.818    29.874
315.412      4.880    30.025
320.000      4.939    30.119
324.655      4.983    30.195
329.377      5.024    30.294
334.168      5.075    30.410
339.028      5.129    30.532
343.959      5.187    30.657
348.962      5.245    30.761
354.038      5.305    30.833
359.188      5.364    30.899
364.412      5.422    30.979
369.713      5.483    31.064
375.090      5.549    31.127
380.546      5.613    31.196
386.081      5.686    31.269
391.697      5.764    31.308
397.394      5.837    31.324
403.175      5.917    31.333
409.039      6.000    31.319
414.989      6.088    31.277
421.025      6.175    31.209
427.149      6.265    31.127
433.362      6.360    31.017
439.665      6.453    30.883
446.060      6.552    30.735
452.548      6.656    30.557
459.131      6.761    30.350
465.809      6.870    30.110
472.584      6.986    29.823
479.458      7.104    29.487
486.432      7.222    29.106
493.507      7.340    28.683
500.686      7.451    28.231
507.968      7.564    27.768
515.357      7.675    27.296
522.853      7.788    26.820
530.458      7.910    26.322
538.174      8.036    25.787
546.002      8.164    25.217
553.943      8.299    24.603
562.001      8.426    23.947
570.175      8.550    23.273
578.469      8.676    22.583
586.883      8.817    21.845
595.419      8.955    21.063
604.080      9.095    20.248
612.866      9.235    19.384
621.780      9.367    18.469
630.824      9.498    17.535
640.000      9.643    16.562
649.309      9.791    15.521
658.753      9.930    14.421
668.335     10.075    13.262
678.056     10.211    12.033
687.919     10.335    10.753
697.925     10.456     9.432
708.077     10.572     8.058
718.376     10.682     6.635
728.825     10.787     5.157
739.426     10.880     3.629
750.181     10.957     2.059
761.093     11.025     0.443
772.163     11.076    -1.214
783.394     11.127    -2.914
794.789     11.165    -4.670
806.349     11.177    -6.471
818.078     11.169    -8.308
829.977     11.140   -10.183
842.050     11.088   -12.077
854.298     11.011   -13.960
866.724     10.906   -15.821
879.330     10.773   -17.650
892.120     10.625   -19.438
905.097     10.483   -21.205
918.262     10.324   -22.956
931.618     10.150   -24.686
945.169      9.935   -26.364
958.917      9.685   -27.938
972.864      9.437   -29.392
987.015      9.176   -30.716
1001.37      8.930   -31.902
1015.94      8.693   -33.010
1030.71      8.451   -34.049
1045.71      8.209   -34.989
1060.92      7.953   -35.800
1076.35      7.689   -36.439
1092.00      7.435   -36.911
1107.89      7.205   -37.229
1124.00      7.004   -37.423
1140.35      6.825   -37.563
1156.94      6.648   -37.681
1173.77      6.475   -37.753
1190.84      6.314   -37.778
1208.16      6.154   -37.755
1225.73      6.006   -37.688
1243.56      5.866   -37.590
1261.65      5.724   -37.425
1280.00      5.575   -37.149
1298.62      5.438   -36.774
1317.51      5.315   -36.327
1336.67      5.205   -35.793
1356.11      5.116   -35.228
1375.84      5.033   -34.709
1395.85      4.944   -34.186
1416.15      4.868   -33.632
1436.75      4.796   -33.083
1457.65      4.727   -32.538
1478.85      4.664   -31.993
1500.36      4.607   -31.451
1522.19      4.549   -30.904
1544.33      4.492   -30.354
1566.79      4.430   -29.762
1589.58      4.378   -29.108
1612.70      4.340   -28.476
1636.16      4.299   -27.861
1659.95      4.269   -27.249
1684.10      4.236   -26.671
1708.60      4.189   -26.048
1733.45      4.153   -25.362
1758.66      4.124   -24.647
1784.24      4.109   -23.926
1810.19      4.105   -23.265
1836.52      4.105   -22.702
1863.24      4.105   -22.239
1890.34      4.104   -21.868
1917.83      4.101   -21.569
1945.73      4.093   -21.317
1974.03      4.080   -21.084
2002.74      4.062   -20.846
2031.87      4.041   -20.582
2061.43      4.022   -20.298
2091.41      4.006   -20.014
2121.83      3.994   -19.752
2152.69      3.978   -19.498
2184.01      3.951   -19.204
2215.77      3.924   -18.853
2248.00      3.896   -18.440
2280.70      3.880   -17.973
2313.87      3.876   -17.514
2347.53      3.875   -17.114
2381.68      3.874   -16.787
2416.32      3.873   -16.529
2451.46      3.869   -16.318
2487.12      3.860   -16.130
2523.30      3.847   -15.941
2560.00      3.830   -15.730
2597.24      3.813   -15.480
2635.01      3.795   -15.187
2673.34      3.780   -14.859
2712.23      3.769   -14.519
2751.68      3.763   -14.193
2791.70      3.760   -13.901
2832.31      3.757   -13.659
2873.50      3.751   -13.454
2915.30      3.741   -13.264
2957.70      3.727   -13.063
3000.72      3.709   -12.826
3044.37      3.692   -12.540
3088.65      3.675   -12.205
3133.58      3.661   -11.831
3179.16      3.652   -11.439
3225.40      3.647   -11.049
3272.31      3.645   -10.681
3319.91      3.645   -10.345
3368.20      3.645   -10.043
3417.19      3.645    -9.773
3466.89      3.645    -9.534
3517.32      3.645    -9.334
3568.48      3.645    -9.177
3620.39      3.643    -9.061
3673.05      3.633    -8.950
3726.47      3.612    -8.780
3780.67      3.586    -8.518
3835.67      3.559    -8.146
3891.46      3.541    -7.667
3948.06      3.533    -7.137
4005.49      3.530    -6.597
4063.75      3.530    -6.056
4122.86      3.531    -5.514
4182.82      3.535    -4.974
4243.66      3.552    -4.483
4305.39      3.579    -4.107
4368.01      3.607    -3.854
4431.55      3.631    -3.715
4496.01      3.643    -3.662
4561.40      3.644    -3.619
4627.75      3.645    -3.545
4695.06      3.645    -3.438
4763.35      3.645    -3.303
4832.64      3.645    -3.154
4902.93      3.645    -2.995
4974.24      3.645    -2.830
5046.60      3.645    -2.659
5120.00      3.645    -2.485
5194.47      3.645    -2.308
5270.03      3.645    -2.127
5346.68      3.645    -1.944
5424.45      3.645    -1.757
5503.35      3.645    -1.568
5583.40      3.645    -1.376
5664.61      3.645    -1.180
5747.01      3.645    -0.980
5830.60      3.645    -0.774
5915.41      3.645    -0.560
6001.45      3.645    -0.337
6088.74      3.645    -0.103
6177.30      3.647     0.137
6267.15      3.650     0.379
6358.31      3.655     0.617
6450.80      3.660     0.845
6544.62      3.667     1.060
6639.82      3.673     1.264
6736.40      3.679     1.459
6834.38      3.685     1.646
6933.79      3.691     1.827
7034.64      3.697     2.002
7136.96      3.703     2.173
7240.77      3.709     2.339
7346.09      3.716     2.502
7452.94      3.722     2.661
7561.35      3.728     2.817
7671.33      3.734     2.969
7782.91      3.740     3.119
7896.12      3.746     3.266
8010.97      3.752     3.410
8127.49      3.758     3.551
8245.71      3.765     3.691
8365.65      3.771     3.828
8487.33      3.777     3.963
8610.78      3.783     4.096
8736.03      3.789     4.227
8863.09      3.795     4.356
8992.01      3.801     4.484
9122.80      3.808     4.609
9255.50      3.814     4.734
9390.12      3.820     4.856
9526.70      3.826     4.977
9665.27      3.832     5.097
9805.86      3.838     5.215
9948.49      3.844     5.332
10093.2      3.850     5.448
10240.0      3.857     5.562
10388.9      3.863     5.675
10540.1      3.869     5.788
10693.4      3.875     5.899
10848.9      3.881     6.009
11006.7      3.887     6.118
11166.8      3.893     6.226
11329.2      3.899     6.334
11494.0      3.906     6.440
11661.2      3.912     6.546
11830.8      3.918     6.651
12002.9      3.924     6.756
12177.5      3.930     6.859
12354.6      3.936     6.963
12534.3      3.942     7.065
12716.6      3.949     7.167
12901.6      3.955     7.269
13089.2      3.961     7.370
13279.6      3.967     7.471
13472.8      3.973     7.572
13668.8      3.979     7.672
13867.6      3.985     7.772
14069.3      3.991     7.871
14273.9      3.998     7.971
14481.5      4.004     8.071
14692.2      4.010     8.170
14905.9      4.016     8.269
15122.7      4.022     8.369
15342.7      4.028     8.468
15565.8      4.034     8.568
15792.2      4.040     8.668
16021.9      4.047     8.768
16255.0      4.053     8.869
16491.4      4.059     8.970
16731.3      4.065     9.071
16974.7      4.071     9.173
17221.6      4.077     9.276
17472.1      4.083     9.379
17726.2      4.090     9.483
17984.0      4.096     9.588
18245.6      4.102     9.694
18511.0      4.108     9.801
18780.2      4.114     9.909
19053.4      4.120    10.019
19330.5      4.126    10.130
19611.7      4.132    10.243
19897.0      4.139    10.358
20186.4      4.145    10.476
20480.0      4.151    10.595
20777.9      4.157    10.718
21080.1      4.163    10.844
21386.7      4.169    10.973
21697.8      4.175    11.107
22013.4      4.182    11.246
22333.6      4.188    11.392
22658.4      4.194    11.545
22988.0      4.200    11.711
23322.4      4.206    11.894
23661.6      4.212    12.100
24005.8      4.219    12.330
24355.0      4.232    12.565
24709.2      4.250    12.778
25068.6      4.274    12.944
25433.2      4.299    13.049
25803.2      4.318    13.115
26178.5      4.330    13.174
26559.3      4.337    13.249
26945.6      4.346    13.353
27337.5      4.363    13.460
27735.2      4.379    13.561
28138.6      4.393    13.660
28547.9      4.412    13.717
28963.1      4.423    13.755
29384.4      4.437    13.807
29811.8      4.447    13.858
30245.4      4.449    13.946
30685.3      4.450    14.100
31131.7      4.454    14.312
31584.5      4.471    14.548
32043.9      4.498    14.749
32510.0      4.527    14.905
32982.8      4.557    15.005
33462.6      4.584    15.033
33949.3      4.609    15.009
34443.1      4.637    14.944
34944.1      4.660    14.841
35452.4      4.673    14.722
35968.0      4.678    14.616
36491.2      4.679    14.555
37022.0      4.679    14.552
37560.5      4.679    14.607
38106.8      4.680    14.699
38661.1      4.685    14.817
39223.4      4.691    14.918
39793.9      4.696    15.010
