Freq[Hz]     dBSPL  Phase[Deg]
5.00000      0.531     0.926
5.07273      0.531     0.940
5.14651      0.531     0.953
5.22137      0.531     0.967
5.29732      0.531     0.981
5.37437      0.532     0.996
5.45254      0.532     1.010
5.53185      0.532     1.025
5.61231      0.532     1.040
5.69394      0.532     1.055
5.77676      0.532     1.070
5.86079      0.532     1.086
5.94604      0.532     1.101
6.03252      0.532     1.117
6.12027      0.532     1.134
6.20929      0.533     1.150
6.29961      0.533     1.167
6.39124      0.533     1.184
6.48420      0.533     1.201
6.57851      0.533     1.218
6.67420      0.533     1.236
6.77128      0.533     1.254
6.86977      0.533     1.272
6.96969      0.534     1.291
7.07107      0.534     1.310
7.17392      0.534     1.329
7.27827      0.534     1.348
7.38413      0.534     1.367
7.49154      0.534     1.387
7.60050      0.535     1.407
7.71105      0.535     1.428
7.82321      0.535     1.449
7.93701      0.535     1.470
8.05245      0.535     1.491
8.16958      0.536     1.513
8.28841      0.536     1.535
8.40896      0.536     1.557
8.53128      0.536     1.579
8.65537      0.536     1.602
8.78126      0.537     1.626
8.90899      0.537     1.649
9.03857      0.537     1.673
9.17004      0.537     1.697
9.30342      0.538     1.722
9.43874      0.538     1.747
9.57603      0.538     1.772
9.71532      0.538     1.798
9.85663      0.539     1.824
10.0000      0.539     1.851
10.1455      0.539     1.877
10.2930      0.540     1.905
10.4427      0.540     1.932
10.5946      0.540     1.960
10.7487      0.541     1.989
10.9051      0.541     2.018
11.0637      0.541     2.047
11.2246      0.542     2.077
11.3879      0.542     2.107
11.5535      0.543     2.137
11.7216      0.543     2.168
11.8921      0.543     2.200
12.0650      0.544     2.231
12.2405      0.544     2.264
12.4186      0.545     2.297
12.5992      0.545     2.330
12.7825      0.546     2.364
12.9684      0.546     2.398
13.1570      0.547     2.432
13.3484      0.547     2.468
13.5426      0.548     2.503
13.7395      0.548     2.540
13.9394      0.549     2.576
14.1421      0.550     2.614
14.3478      0.550     2.651
14.5565      0.551     2.690
14.7683      0.552     2.729
14.9831      0.552     2.768
15.2010      0.553     2.808
15.4221      0.554     2.849
15.6464      0.554     2.890
15.8740      0.555     2.932
16.1049      0.556     2.974
16.3392      0.557     3.017
16.5768      0.557     3.060
16.8179      0.558     3.105
17.0626      0.559     3.149
17.3107      0.560     3.195
17.5625      0.561     3.241
17.8180      0.562     3.288
18.0771      0.563     3.335
18.3401      0.564     3.383
18.6068      0.565     3.432
18.8775      0.566     3.481
19.1521      0.567     3.531
19.4306      0.568     3.582
19.7133      0.569     3.634
20.0000      0.571     3.686
20.2909      0.572     3.739
20.5860      0.573     3.793
20.8855      0.574     3.847
21.1893      0.576     3.902
21.4975      0.577     3.958
21.8102      0.579     4.015
22.1274      0.580     4.073
22.4492      0.582     4.131
22.7758      0.583     4.191
23.1071      0.585     4.251
23.4432      0.586     4.312
23.7841      0.588     4.373
24.1301      0.590     4.436
24.4811      0.591     4.499
24.8372      0.593     4.564
25.1984      0.595     4.629
25.5649      0.597     4.695
25.9368      0.599     4.762
26.3141      0.601     4.830
26.6968      0.603     4.899
27.0851      0.605     4.969
27.4791      0.608     5.040
27.8788      0.610     5.111
28.2843      0.612     5.184
28.6957      0.615     5.258
29.1131      0.617     5.332
29.5365      0.620     5.408
29.9661      0.622     5.485
30.4020      0.625     5.563
